nr_crt,titlu_proiect,nume_beneficiar,nume_operatiune,fonduri_ue,buget_national,contributie_beneficiar,cheltuieli_neeligibile,total_valoare_proiect,currency,uri
1,Întărirea capacităţii instituţionale de management a reformei privind îmbunătăţirea mediului de afaceri din România,"Ministerul Întreprinderilor Mici şi Mijlocii, Comerţului şi Mediului de Afaceri",Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,3.828.903,0,675.689,0,4.504.592,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
2,Strategia de dezvoltare durabilă a judeţului Bacău - Instrument de lucru pentru administraţie,Judeţul Bacău,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,1.237.296,189.234,29.113,217.730,1.673.373,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
3,Elaborarea strategiei de dezvoltare locală a oraşului Săcueni,Oraşul Săcueni,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,418.715,64.039,9.852,0,492.606,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
4,"Elaborarea Strategiei guvernamentale pentru dezvoltarea sectorului IMM, în perioada 2009-2013","Ministerul Întreprinderilor Mici şi Mijlocii, Comerţului şi Mediului de Afaceri",Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,2.965.684,0,523.356,0,3.489.040,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
5,"Dezvoltarea strategică, o cale către bunăstare","Consiliul Local Beclean, Judeţul Braşov",Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,230.520,35.175,5.505,200,271.400,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
6,"Elaborarea ""Strategiei de Dezvoltare a Oraşului Odobeşti, perioada 2009- 2020",Oraşul Odobeşti,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,535.500,81.900,12.600,0,630.000,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
7,Paşi spre o dezvoltare durabilă - elaborarea strategiei de dezvoltare a municipiului Lugoj,Municipiul Lugoj,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,189.473,28.977,4.460,0,222.910,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
8,Elaborarea Strategiei guvernamentale pentru îmbunătăţirea si dezvoltarea mediului de afaceri,"Ministerul Întreprinderilor Mici şi Mijlocii, Comerţului şi Mediului de Afaceri",Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,2.587.901,0,456.689,0,3.044.590,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
9,Un cadru legislativ mai coerent pentru o administraţie publică mai eficientă,MAI - UCRAP,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,2.972.904,0,524.630,0,3.497.534,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
10,"Strategie, durabilitate, dezvoltare",Unitatea administrativă teritorială a judeţului Brăila (Consiliul Judeţean Brăila),Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,208.335,29.765,7.000,0,245.100,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
11,Proces decizional la nivel M.I.R.A.,MAI - Unitatea de Politici Publice,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,3.989.034,0,703.947,199.700,4.892.681,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
12,O noua abordare strategica a judetului Galati,Consiliul Judetului Galati,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,708.390,108.310,16.700,0,833.400,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
13,Politici publice de dezvoltare locala - planificare strategica pe termen mediu si lung,Municipiul Bacau,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,844.373,129.139,19.868,0,993.380,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
14,"Asociaţiile de dezvoltare intercomunitară - instrument pentru furnizarea în comun, în condiţii de calitate şi eficacitate, a serviciilor publice locale",MAI - UCRAP,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,2.373.538,0,418.860,0,2.792.398,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
15,Masterplanul de dezvoltare durabilă a Municipiului Drăgaşani - instrumnet la standarde europene pentru luarea deciziilor în mod eficient şi eficace la nivel politico- administrativ,Municipiul Drăgaşani,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,624.230,95.470,14.688,0,734.388,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
16,"Reactualizarea Strategiei de dezvoltare economico socială a judeţului Vaslui, cu orizontul de timp 2013-2020",Consiliul Judeţean Vaslui,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,470.537,71.964,11.071,0,553.572,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
17,Procese decizionale eficiente la nivelul administraţiei publice locale din România,MAI - Unitatea de Politici Publice,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,7.129.924,0,1.258.222,210.000,8.598.146,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
