nr_crt,titlu_proiect,nume_beneficiar,nume_operatiune,fonduri_ue,buget_national,contributie_beneficiar,cheltuieli_neeligibile,total_valoare_proiect,currency,uri
1,Reabilitare drumuri judeţene DJ 665 km 0+000- 54+500 şi DJ 675C km 0+000-4+300,UAT Jud Gorj,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,65.472.753,10.013.498,1.540.535,15.344.552,92.371.338,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
2,Reabilitare DJ 132,UAT Jud. Harghita,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,47.063.000,7.197.870,1.107.365,11.529.979,66.898.214,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
3,"Ranforsarea si modernizarea drumului judetean DJ 201B, km. 0+000-km.19+000, pe traseul Ciochina-Orezu-Raşi",UAT Jud. Ialomiţa,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,25.971.103,3.452.806,600.488,6.438.504,36.462.900,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
4,"Restructurare si largire a drumului judetean Viziru, Cuza-Voda, Mihai Bravu",UAT Jud. Brăila,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,46.340.155,5.880.279,1.352.000,11.227.063,64.799.497,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
5,"Reabilitarea si modernizarea DJ652, DN65 - Lacrita-Cosoveni-Ghindeni-DN55",UAT Jud. Dolj,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,18.651.140,2.479.631,431.240,4.101.120,25.663.131,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
6,Ocolirea municipiului Drăgăşani,UAT M. Drăgăşani,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,16.211.385,2.155.271,374.830,4.037.559,22.779.045,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
7,Modernizarea infrastructurii de acces în zona Răchiţele-Prislop-Ic Ponor,UAT Jud. Cluj,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,43.131.819,5.734.288,997.268,9.814.766,59.678.141,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
8,Reabilitare drum Ciucea-Crasna-Vârşolţ,UAT SĂLAJ - UAT Cluj,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,62.087.253,8.254.375,1.435.543,13.851.213,85.628.385,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
9,Modernizarea infrastructurii de transport catre zona turistica Murighiol-Uzlina-Dunavat-lacul Razim,"UAT TL, UATM TL, UAT Nufăru, UAT Com. Bestepe, UAT Com. Mahmudia, UAT Com Murighiol",Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,58.075.428,7.438.795,1.625.000,13.711.503,80.850.726,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
10,Centură Sud Ineu,Oraşul Ineu,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,12.131.148,1.612.812,280.489,2.925.096,16.949.545,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
11,"Modernizare Tronson Juliţa - Mădrigeşti, componenta traseului turistic E68 - Moneasa",UAT Jud. Arad,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,40.205.449,5.345.233,929.606,9.844.246,56.324.534,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
12,Modernizarea drumurilor de rocada pentru municipiul Targu Jiu,UAT Mun. Tg. Jiu,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,54.372.539,7.228.719,1.257.169,13.299.446,76.157.873,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
13,"Modernizare DJ 668: DN 66- Bucium Orlea - Gânţaga, km 1+200-9+200",UAT Hunedoara,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,9.492.272,1.261.978,219.475,2.056.050,13.029.775,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
14,Valorificarea potenţialului turistic şi economic al văii Aiud prin reabilitarea infrastructurii de transport DJ 107M,UAT Jud. Alba,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,19.418.201,2.581.611,448.976,5.390.787,27.839.574,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
15,"Fluidizarea traficului rutier în Municipiul Craiova, pe axa Est- Vest prin reabilitarea Bvd. Decebal- Dacia",UAT Mun. Craiova,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,31.950.242,4.247.720,738.734,7.035.912,43.972.608,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
16,"REABILITAREA SI MODERNIZAREA DRUMULUI DE INTERES REGIONAL DJ 208, LIMITA JUDETULUI NEAMT – IASI – LIMITA JUDETULUI SUCEAVA",UAT IAŞI,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,44.146.086,5.869.133,1.020.719,9.810.953,60.846.891,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
17,REABILITAREA SI MODERNIZAREA DRUMULUI INTERJUDETEAN DJ 248 IASI- VASLUI,UAT IAŞI şi UAT Vaslui,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,51.053.676,6.787.483,1.180.432,11.095.661,70.117.252,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
18,"Reabilitare DJ 682 limita judeţ Arad - Periam - Saravale - Sânnicolau Mare, L = 24 km",UAT Jud. Timiş,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,31.035.770,4.126.143,717.590,7.453.205,43.332.708,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
19,"Reabilitare drum judetean DJ 592, Buziaş - Lugoj, km 25+000-54+200, L=29,2 km",UAT Jud. Timiş,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,41.090.233,5.440.833,972.094,14.027.476,61.530.636,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
20,"Modernizare DJ 651B Balcesti Gorunesti - Limita Judeţ Olt km 0+000 - 12+500, Loc. Balceşti, Jud. Vâlcea",CJ Valcea,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,13.838.547,1.839.807,319.966,3.009.404,19.007.724,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
21,Reabilitarea şi modernizarea DJ606 Craiova (DN65) - limita Judeţului Mehedinţi,UATJud. Dolj,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,62.277.661,8.279.689,1.439.946,13.707.831,85.705.126,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
22,Reabilitarea şi modernizarea infrastructurii rutiere de drumuri în staţiunea balneară Amara,Amara,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,12.454.240,1.655.766,287.959,3.242.178,17.640.144,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
23,Modernizarea drum judeţean 106 Sibiu - Cornatel- Altana-Berghis-Agnita,UAT Jud Sibiu,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,42.977.193,5.713.731,993.692,9.560.378,59.244.994,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
24,"Reabilitare şi modernizare DJ 763 Sudrigiu- Pietroasa-Cabana Padiş, Km 0+000-13+100 şi 19+650-35+100, L=28,550 km judeţul Bihor",UAT Jud. Bihor,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,55.718.479,7.407.659,1.288.289,12.468.887,76.883.314,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
25,Modernizarea şi reabilitarea drumului de centură al municipiului Târgovişte,Târgovişte,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,62.026.901,8.246.351,1.434.148,17.081.646,88.789.047,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
