nr_crt,titlu_proiect,nume_beneficiar,nume_operatiune,fonduri_ue,buget_national,contributie_beneficiar,cheltuieli_neeligibile,total_valoare_proiect,currency,uri
1,Extinderea şi reabilitarea sistemelor de alimentare cu apă şi canalizare în judeţul Giurgiu,SC Apa Service SA,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,215.131.065,32.902.396,5.061.907,63.861.330,316.956.698,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
2,Extinderea şi reabilitarea sistemelor de apă şi apă uzată în regiunea Turda-Câmpia Turzii,S.C. Compania de Apă Arieş S.A.,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,236.965.127,36.241.727,5.575.648,75.062.168,353.844.670,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
3,"Extinderea şi reabilitarea sistemelor de apă şi apă uzată din judeţele Cluj/Sălaj - Îmbunătăţirea sistemelor de alimentare cu apă, canalizare şi epurare în zona Cluj-Sălaj""",S.C. Compania de Someş S.A.,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,541.969.415,82.889.440,12.752.217,234.360.151,871.971.223,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
4,Reabilitatea şi extinderea sistemelor de apă şi apă uzată în judeţul Tulcea,S.C. Aquaserv Tulcea S.A.,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,336.523.368,51.468.280,7.918.197,102.837.131,498.746.976,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
5,Extinderea şi reabilitarea sistemelor de alimentare cu apă şi canalizare în judeţul Călăraşi,S.C. Ecoaqua S.A. Călăraşi,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,302.864.925,46.320.519,7.126.233,83.815.589,440.127.266,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
6,"Extinderea şi reabilitarea sistemelor de apă şi apă uzată în regiunile Mediaş, Agnita, Dumbrăveni, judeţul Sibiu",S.C. Apa Târnavei Mari S.A.,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,261.662.005,40.018.897,6.156.752,82.987.770,390.825.424,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
7,Extinderea şi reabilitarea sistemelor de apă şi apă uzată în judeţul Gorj,S.C. Aparegio Gorj S.A. Târgu- Jiu,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,264.374.816,40.433.795,6.220.583,72.623.365,383.652.559,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
8,Reabilitarea şi extinderea sistemelor de alimentare cu apă şi canalizare în judeţul Teleorman,SC Apa Serv SA Alexandria,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,350.022.595,53.532.868,8.235.826,101.888.350,513.679.639,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
9,Extinderea şi reabilitarea sistemelor de apă şi apă uzată în judeţul Olt,S.C. Compania de Apă Olt,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,245.231.995,37.506.070,5.770.165,59.710.792,348.219.022,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
10,Reabilitarea şi extinderea sistemelor de apă şi canalizare în judeţul Braşov,S.C. Compania de apă Brasov,Axa Prioritară 1/ DMI 1/ Extinderea şi modernizarea sistemelor de apă şi apă uzată,607.350.975,92.888.971,14.290.611,231.057.296,945.587.853,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
