nr_crt,titlu_proiect,nume_beneficiar,nume_operatiune,fonduri_ue,buget_national,contributie_beneficiar,cheltuieli_neeligibile,total_valoare_proiect,currency,uri
1,"Pregătire pachet proiecte 1 pentru completarea listei variantelor de ocolire (Bistrița, Ștei, Gheorgheni, Miercurea Ciuc, Huși și Aleșd)",Compania Naţională de Autostrăzi și Drumuri Naționale din România,Axa Prioritară 2/ DMI 2.1. Modernizarea şi dezvoltarea infrastructurii rutiere naționale,26.280.977,11.669.892,-,85.655.931,123.606.800,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
2,"Reabilitarea DN24, limita de județ Galați - Vaslui-Crasna și DN24B Crasna - Albița",Compania Naţională de Autostrăzi și Drumuri Naționale din România,Axa Prioritară 2/ DMI 2.1. Modernizarea şi dezvoltarea infrastructurii rutiere naționale,370.639.510,164.579.999,-,97.838.219,633.057.728,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
3,Reabilitare DN 1H Zalău - Alesd,Compania Naţională de Autostrăzi și Drumuri Naționale din România,Axa Prioritară 2/ DMI 2.1. Modernizarea şi dezvoltarea infrastructurii rutiere naționale,287.807.680,127.799.078,-,72.464.640,488.071.398,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
6,"Elaborarea planurilor de acțiune ale hărților strategice de zgomot, pentru căile ferate principale cu un trafic mai mare de 60.000 treceri de trenuri/an",Compania Naţională de Căi Ferate „C.F.R.” S.A.,Axa Prioritară 3/ DMI 3.3. Minimizarea efectelor adverse ale transporturilor asupra mediului,756.717,307.283,-,202.160,1.266.160,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
7,"Organizarea reuniunii Comitetului de Monitorizare pentru POS T 2007-2013, din data de 23 mai 2008",Autoritatea de Management pentru POS T – Direcţia Implementare Proiecte,"Axa Prioritară 4/ DMI 4.1. Sprijin pentru managementul, implementarea, monitorizarea şi controlul POS T",18.993,6.307,-,4.807,30.107,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
8,"Organizarea reuniunii Comitetului de Monitorizare pentru POS T 2007-2013, din data de 7 noiembrie 2008",Autoritatea de Management pentru POS T – Direcţia Implementare Proiecte,"Axa Prioritară 4/ DMI 4.1. Sprijin pentru managementul, implementarea, monitorizarea şi controlul POS T",9.384,3.116,-,2.375,14.875,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
9,"Organizarea Conferinţei Naţionale POS T, din data de 11 noiembrie 2008",Autoritatea de Management pentru POS T – Direcţia Implementare Proiecte,Axa Prioritară 4/ DMI 4.2. Sprijin pentru informare şi publicitate privind POS T,22.463,7.460,-,5.685,35.608,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
10,Asistență tehnică pentru realizarea unei campanii de informare publică la nivel național privind POS T 2007- 2013,Autoritatea de Management pentru POS T – Direcţia Implementare Proiecte,Axa Prioritară 4/ DMI 4.2. Sprijin pentru informare și publicitate privind POST,2.391.824,794.301,-,605.364,3.791.489,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
11,Asistență tehnică pentru evaluarea intermediară a Programului Operațional Sectorial de Transport 2007- 2013,Autoritatea de Management pentru POS T – Direcţia Implementare Proiecte,"Axa Prioritară 4/ DMI 4.1. Sprijin pentru managementul, implementarea, monitorizarea şi controlul POS T",400.093,132.867,-,101.263,634.223,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
12,"Achiziție de furnituri de birou, rechizite, materiale, tonere",Autoritatea de Management pentru POS T – Direcţia Implementare Proiecte,"Axa Prioritară 4/ DMI 4.1. Sprijin pentru managementul, implementarea, monitorizarea şi controlul POS T",267.944,88.981,-,67.816,424.741,LEI,http://localhost:9999/Lista_contractate_POS_Transport_30_aprilie_2010.pdf
