"ID","REGION","TITLE","BENEFICIARY","FROM","TO","FUNDING SEK","FUNDING EURO"
151718,"Mellersta Norrland","Nationellt Utvecklingscentrum MittSverig","JÄMTLAND-HÄRJEDALENS HANDIKAPPIDROTTSFÖR",06/01/10,05/31/13,"2 490 300",0
151717,"Mellersta Norrland","Samhällsentreprenörskap - gränsöverskrid","Mittuniversitetet",07/01/10,06/30/13,"13 024 654",0
151704,"Mellersta Norrland","Grön Kemi: Ett nytt sätt att maximera ny","Mittuniversitetet",07/01/10,06/30/13,"5 727 150",0
151662,"Mellersta Norrland","Marknadskommunikation och tillgänglighet","JÄMTLAND-HÄRJEDALEN TURISM JHT EK FÖR",08/01/10,07/31/13,"9 356 250",0
151661,"Mellersta Norrland","Förstudie - Utvecklingsplan för Östersun","ÖSTERSUNDS KOMMUN",03/01/10,04/30/11,"325 000",0
151656,"Mellersta Norrland","Utvecklingsprojektet Paralympic Winter W","SVENSKA HANDIKAPPIDROTTSFÖRBUNDET",10/01/10,09/30/13,"4 736 000",0
151634,"Mellersta Norrland","Referensmiljöer för framtidens produkter","Jämtlands läns landsting",07/01/10,06/30/13,"3 721 121",0
151632,"Mellersta Norrland","Internationellt centrum för kulturarvspe","Jamtli",02/01/10,01/31/13,"3 150 000",0
151622,"Mellersta Norrland","Kramfors Resecentrum Steg 2","Kramfors kommun",01/27/10,09/30/10,"3 442 500",0
151615,"Mellersta Norrland","Timrå resecentrum","Timrå kommun",02/01/10,01/31/13,"3 437 222",0
151230,"Mellersta Norrland","Kommunikationscenter för tursimen i Funä","HÄRJEDALENS KOMMUN",01/01/10,12/31/10,"2 500 000",0
151229,"Mellersta Norrland","Destinationsutvecklande aktiviteter i Ve","Destination Vemdalen AB",12/01/09,11/30/12,"5 700 000",0
148388,"Mellersta Norrland","Strategisk utveckling via spillvärme i Å","Ånge kommun",09/01/09,10/31/10,"7 500 000",0
148359,"Mellersta Norrland","Högteknologisk och företagsnära produktu","Mittuniversitetet",09/08/09,09/07/12,"6 650 000",0
148349,"Mellersta Norrland","Mid RISK Mid Sweden risk and crisis rese","Mittuniversitetet",01/01/10,12/31/12,"8 981 207",0
148346,"Mellersta Norrland","Utveckling av Östberget","ÖSTERSUNDS KOMMUN",09/08/09,03/31/11,"5 000 000",0
148333,"Mellersta Norrland","Bredband i Världsarvet","Kramfors Mediateknik AB",10/01/09,12/31/10,"4 832 950",0
