"Ident","REGION","TITLE","BENEFICIARY","FROM","TO","FUNDING SEK","FUNDING EURO"
39606,"Mellersta Norrland","Projekt löv&barrskog - anpassad skogsskö","Jämtlands läns landsting",01/01/08,12/31/10,0,0
154053,"Öresund-Kategat-Skagerrak","Ind i barokken - et fælles nordisk kultu","Holbaek Teater",05/07/10,11/06/10,0,"25 000"
153813,"Öresund-Kategat-Skagerrak","SMS - Sociala aspekter och medborgardial","Göteborgs kommun",04/26/10,09/30/10,0,"18 100"
153480,"Öresund-Kategat-Skagerrak","Medicon Valley Alliance Drug Delivery","Medicon Valley Alliance, F.M.B.A",03/29/10,09/29/10,0,"24 660"
153244,"Öresund-Kategat-Skagerrak","Skandinavisk Kompetenceudviklingsnetværk","Region Midtjylland",08/01/10,07/31/13,0,"6 255 590"
153035,"Öresund-Kategat-Skagerrak","SMIL(E) Skandinaviska metoder för innova","HALMSTADS KOMMUN",03/01/10,08/30/10,0,"25 000"
152969,"Öresund-Kategat-Skagerrak","Örsunds Forum för Innovations inom Nano,","MALMÖ HÖGSKOLA",04/01/10,09/30/10,0,"25 000"
152784,"Öresund-Kategat-Skagerrak","PreDrop","Videncenter om fastholdelse og frafald",01/04/10,09/30/10,0,"25 000"
152465,"Öresund-Kategat-Skagerrak","NetWork NORDEN","Foreningen Norden",05/01/10,12/31/12,0,"288 185"
152443,"Öresund-Kategat-Skagerrak","Food KIC i ØR","Roskilde Universitetscenter",05/01/10,04/30/12,0,"700 000"
152435,"Öresund-Kategat-Skagerrak","Øresund Materials Innovation Community F","LUNDS UNIVERSITET",05/01/10,09/30/12,0,"1 457 112"
152423,"Öresund-Kategat-Skagerrak","Oplev Øresund gennem Regional Madkultur","Uddannelsescentret i Roskilde - Slakteri",09/01/10,08/31/13,0,"546 062"
152414,"Öresund-Kategat-Skagerrak","BrandIT Fas 2","LUNDS UNIVERSITET",04/01/10,12/31/12,0,"1 287 574"
152413,"Öresund-Kategat-Skagerrak","Kompetenscentrum för Evakueringssäkerhet","LUNDS UNIVERSITET",06/01/10,05/31/13,0,"498 927"
152412,"Öresund-Kategat-Skagerrak","Centre for Scandinavian Studies","LUNDS UNIVERSITET",08/01/10,07/31/12,0,"391 985"
152370,"Öresund-Kategat-Skagerrak","Örescen för barn och unga","Svenska Assitej",03/01/10,12/31/11,0,"156 450"
152207,"Öresund-Kategat-Skagerrak","Bärkraftigt räkfiske i Skagerrak","GÖTEBORGS UNIVERSITET",07/01/10,06/30/13,0,"438 731"
152155,"Öresund-Kategat-Skagerrak","Kulturella Broar","HÖGSKOLAN HALMSTAD",02/01/10,07/31/10,0,"24 924"
150987,"Öresund-Kategat-Skagerrak","Skandinaviska regioner som tidiga använd","Vätgas Sverige Ideell Förening",10/15/09,03/01/10,0,"25 000"
150889,"Öresund-Kategat-Skagerrak","Interreg Pro Hip","University College Själland",04/01/10,04/01/13,0,"746 992"
150888,"Öresund-Kategat-Skagerrak","Öreferie - Hållbar närturism i Öresundsr","SVERIGES LANTBRUKSUNIVERSITET",04/01/10,03/31/13,0,"611 515"
150887,"Öresund-Kategat-Skagerrak","AMAPROF","Fotevikens Maritima Centrum",02/20/10,11/20/11,0,"174 160"
150885,"Öresund-Kategat-Skagerrak","Öresund Business Match","Erhverv.net",01/01/10,12/31/12,0,"481 013"
150879,"Öresund-Kategat-Skagerrak","Reprosund","LUNDS UNIVERSITET",03/01/10,02/28/13,0,"892 540"
150878,"Öresund-Kategat-Skagerrak","PR-e-science","LUNDS UNIVERSITET",03/01/10,08/31/11,0,"323 945"
150877,"Öresund-Kategat-Skagerrak","Öresundsklassrummet","Malmö stad",04/01/10,03/31/13,0,"1 003 868"
