datum_objave_potrditve,op,naziv,status,vir,posrednisko_telo_razpisovalec_organ_upravljanja,razpisana_potrjena_vrednost,naziv_upravicenca,naziv_operacije,regija,leto_dodelitve_sredstev,visina_dodeljenih_sredstev,visina_izplacanih_sredstev,opomba
16.8.2010,RČV,Javni razpis za spodbujanje razvoja nevladnih organizacij in civilnega dialoga za obdobje 2010-2012,JR, ,MJU,4.886.685 €,,,,,,,
12.8.2010,RČV,Uvedba elektronskega dokumentacijskega sistema v Zavodu RS za zaposlovanje,NP, ,MDDSZ,1.955.590 €,Zavod RS za zaposlovanje,Uvedba elektronskega dokumentacijskega sistema v Zavodu RS za zaposlovanje,,2010,1.955.590 €,,
10.8.2010,RČV,Javnega razpisa za sofinanciranje izvajanja enotnih regijskih štipendijskih shem za šolsko/študijsko leto 2010/2011,JR, ,MDDSZ,5.000.000 €,,,,,,,
9.8.2010,RČV,"Javni razpis za izbor operacij ""Sofinanciranje profesionalnega usposabljanja strokovnih delavcev v vzgoji in izobraževanju za prepoznavanje in preprečevanje nasilja v letih od 2010 do 2012",JR, ,MŠŠ,1.063.250 €,,,,,,,
6.8.2010,RR,Javni razpis za razvoj kompetenčnih centrov v obdobju 2010-2013,JR,"Ur. l. RS, št. 64/2010",MVZT,45.284.677 €,,,,,,,
5.8.2010,RČV,Javni razpis za sofinanciranje vzpostavitve in delovanja kompetenčnih centrov za razvoj kadrov za obdobje od 2010 do 2013,JR,"Ur. l. RS, št. 64/2010",MDDSZ,2.750.000 €,,,,,,,
30.7.2010,RR,Javni razpis za pridobitev sredstev evropskega sklada za regionalni razvoj – ESRR Razvojni centri slovenskega gospodarstva,JR,"Ur. l. RS, št. 62/2010",MG,185.274.533 €,,,,,,,
27.7.2010,RČV,Nacionalna koordinacijska točka za vseživljenjsko karierno orientacijo,NP, ,MDDSZ,971.084 €,Zavod RS za zaposlovanje,Nacionalna koordinacijska točka za vseživljenjsko karierno orientacijo,,2010,971.084 €,,
23.7.2010,RR,Javni razpis za sofinanciranje promocije turistične ponudbe tematskih turističnih proizvodov na nacionalni ravni v letu 2010 in 2011,JR,"Ur. l. RS, št. 59/2010",MG,1.000.000 €,,,,,,,
9.7.2010,RR,"Javni razpis za za pridobitev sredstev Evropskega sklada za regionalni razvoj – ESRR - Projekt gradnja, upravljanje in vzdrževanje odprtega širokopasovnega omrežja elektronskih komunikacij v lokalni skupnosti",JR,"Ur. l. RS, št. 54/2010",MVZT,37.130.613 €,,,,,,,
2.7.2010,RR,Javni razpis za izbor operacij za sofinanciranje investicij v športno – rekreacijsko infrastrukturo – III,JR,"Ur. l. RS, št. 54/2010",MŠŠ,9.400.000 €,Mestna občina Ljubljana,Večnamenski nogometni stadion Stožice,Osrednjeslovenska,2010,9.386.149 €,,
30.6.2010,RČV,Javni razpis za sofinanciranje razvoja in izvajanja dejavnosti kariernih centrov v visokem šolstvu,JR,Ur.l.RS št. 55/2010,"Ministrsvo za visoko šolstvo, znanost in tehnologijo",2.430.000 €,,,,,,,
30.6.2010,ROPI,»Celovita oskrba severovzhodne Slovenije s pitno vodo – SZ Slovenske gorice«,NP,OU,MOP,19.849.670 €,"Občine: Lenart
 Sveta Trojica v Slovenskih goricah, Sveti Jurij v Slovenskih goricah, Duplek, Pesnica, Kungota, Šentilj, Sveta Ana, Benedikt, Cerkvenjak, Gornja Radgona in Mestna občina Maribor",»Celovita oskrba severovzhodne Slovenije s pitno vodo – SZ Slovenske gorice«,,2010,15.599.033 €,,
17.6.2010,ROPI,"Izgradnja avtocestnega odseka Pluskva-Ponikve
(Avtocesta A2; Bič-Hrastje)",NP/J,EK,MzP,123.936.375 €,DARS d.d.,"Izgradnja avtocestnega odseka Pluskva-Ponikve
(Avtocesta A2; Bič-Hrastje)",,2010,87.342.690 €,,
9.6.2010,RČV,Spodbujanje enakih možnosti in socialne vključenosti,JR, ,MDDSZ,8.000.000 €,,,,,,,
9.6.2010,RČV,Sofinanciranje izobraževalnih programov za dvig ravni pismenosti in Projektno učenje za mlajše odrasle od 2010 do 2013,JR, ,MŠŠ,11.023.600 €,,,,,,,
8.6.2010,RČV,Vzpostavitev izvedbenih pogojev za izkustveno izobraževanje za trajnosti razvoj,JR,Ur.l.RS št. 47/2010,MŠŠ,2.400.000 €,,,,,,,
8.6.2010,RČV,"Javni razpis za izbor operacij Oblikovanje strokovnih podlag kot prispevek dejavnikov zagotavljanja kakovosti znanja in socialne kohezivnosti v vzgojno-izobraževalnem sistemu""",JR,Ur.l.RS št. 47/2010,MŠŠ,980.000 €,,,,,,,
8.6.2010,RČV,Vseživljensko učenje - usposabljanje za vodenje šol in vrtcev,NP, ,MŠŠ,1.097.700 €,Šola za ravnatelje,Vseživljensko učenje - usposabljanje za vodenje šol in vrtcev,Gorenjska,2010,1.097.700 €,,
2.6.2010,RČV,"Dvig socialnega in kulturnega kapitala v okoljih, kjer živijo predstavniki romske skupnosti",JR,Ur.l.RS št. 47/2010,MŠŠ,3.900.000 €,,,,,,,
28.5.2010,RR,Javni razpis za sofinanciranje aktivnosti regionalnih destinacijskih organizacij,JR,Ur.l.RS št. 42/2010,MG,4.200.000 €,,,,,,,
25.5.2010,ROPI,Nadgradnja sistema za spremljanje in analiziranje vodnega okolja v Sloveniji,NP/J,EK,MOP,32.962.821 €,"Ministrstvo za okolje in prostor
(Agencija RS za okolje)",Nadgradnja sistema za spremljanje in analiziranje vodnega okolja v Sloveniji,,2010,32.696.547 €,,
21.5.2010,ROPI,Javni razpis za sofinanciranje individualnih sistemov ogrevanja na lesno biomaso za leti 2010 in 2011 (KNLB 2),JR,Ur.l. št. 40/2010,MG,4.400.000 €,,,,,,,
21.5.2010,ROPI,"Javni razpis za sofinanciranje daljinskega ogrevanja na lesno biomaso za leta 2010, 2011 in 2012 (DOLB 2)",JR,Ur.l. št. 40/2010,MG,6.000.000 €,,,,,,,
30.4.2010,RR,"Javni razpis za sofinanciranje prenove in obnove, celostne revitalizacije in modernizacije kulturnih spomenikov v lasti občin",JR,Ur.l.RS št. 34/2010,MK,,Občina Vipava,Obnova rezidenčnega poslopja Lantherijeve graščine,Goriška,2010,3.000.000 €,,
30.4.2010,RR,"Javni razpis za sofinanciranje prenove in obnove, celostne revitalizacije in modernizacije kulturnih spomenikov v lasti občin",JR,Ur.l.RS št. 34/2010,MK,,Mestna občina Maribor,Mariborski grad – obnova in adaptacija za muzej,Podravska,2010,3.000.000 €,,
