"Operačný program","Názov prijímateľa","Názov projektu","Rok - Začiatok realizácie","Mesiac - Začiatok realizácie","Rok - Koniec realizácie","Mesiac - Koniec realizácie","Spolufinancovanie","EÚ zdroje - Zazmluvnené prostriedky","ŠR zdroje - Zazmluvnené prostriedky","Spolu - Zazmluvnené prostriedky","EÚ zdroje - Vyčerpané prostriedky","ŠR zdroje - Vyčerpané prostriedky","Spolu - Vyčerpané prostriedky"
"OP Informatizácia spoločnosti","30807484 - Sociálna poisťovňa","21110120002 - Elektronizácia služieb Sociálnej poisťovňa",2009,"Jún",2011,"Jún",0,24998339.65,8195578.35,33193918,0,0,0
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120011 - Zabezpečenie nebytových priestorov RO OPIS",2009,"Júl",2011,"December",0,84150,14850,99000,0,0,0
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120002 - Refundácia mzdových výdavkov ÚV SR za rok 2007",2007,"Január",2008,"December",0,329126,58081.06,387207.06,310604.11,54812.49,365416.6
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120003 - Mzdové výdavky ÚV SR ako RO na rok 2008 a 2009",2008,"Január",2009,"December",0,1438956.38,253933.48,1692889.86,991665.11,174999.72,1166664.83
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120004 - Aktivity Komunikačného plánu OPIS 2007-2009",2007,"Január",2009,"December",0,427791.37,75492.59,503283.96,119943.62,21166.52,141110.14
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120005 - Zabezpečenie hodnotenia OPIS na roky 2007-2010",2007,"Január",2010,"December",0,733585.61,129456.28,863041.89,0,0,0
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120006 - Zabezpečenie analýz a štúdií súvisiacich s OPIS",2007,"Január",2010,"December",0,1937354.58,341886.1,2279240.68,1126703.43,198830.02,1325533.45
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120007 - Podpora riadenia a implementácie OPIS pre RO OPIS",2007,"Január",2008,"December",0,112859.33,19916.35,132775.68,71224.52,12569.03,83793.55
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120008 - Nebytové priestory a vozidlá pre RO OPIS",2007,"Júl",2008,"December",0,126966.74,22405.9,149372.64,93955.38,16580.36,110535.74
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120009 - Zabezpečenie činnosti MV VE na roky 2007-2010",2007,"Január",2010,"December",0,11624.52,2051.39,13675.91,3853.08,679.96,4533.04
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120010 - Podpora riadenia pre RO OPIS na roky 2009-2010",2009,"Január",2010,"December",0,112858.75,19916.25,132775,14640.4,2583.6,17224
"OP Informatizácia spoločnosti","00151513 - Úrad vlády SR","21140120012 - Odmeny pre externých hodnotiteľov OPIS",2009,"Apríl",2010,"December",0,44982,7938,52920,0,0,0
"OP Informatizácia spoločnosti","00151742 - MF SR","21140220001 - Mzdy zamestnancov SORO a PJ OPIS za rok 2007",2007,"Február",2007,"December",0,322662.52,56940.45,379602.97,244241.24,43101.4,287342.64
"OP Informatizácia spoločnosti","00151742 - MF SR","21140220002 - MTZ pre SORO OPIS a PJ OPIS",2008,"Január",2010,"December",0,365547.54,64508.39,430055.93,42510.52,7501.86,50012.38
"OP Informatizácia spoločnosti","00151742 - MF SR","21140220003 - Refundácia miezd SORO a PJ OPIS rok 2008",2008,"Január",2008,"December",0,808732.42,142717.49,951449.91,500848.71,88385.07,589233.78
