"List of beneficiaries for London, England (last updated 11 January 2010)",,,,,,,,,,,
This table lists the organisations that have been awarded ERDF contracts under the London ERDF 2007-13 programme.  It is split by ERDF Priority & Theme.,,,,,,,,,,,
"Priority 1 : Business innovation, and research & promoting eco-efficiency",,,,,,,,,,,
"Theme 1 : Developing a culture of, and capacity for, creating and using innovation throughout London’s businesses to create sustainable economic growth",,,,,,,,,,,
Name of the beneficiary organisation,Name of the project,Geographical coverage,Description (in project's own words),Year of allocation/year of final payment,ERDF amount awarded,Other public funding allocated,Private funding allocated,Voluntary funding allocated,Total amount paid at the end of the project,Project contact name,Contact email
British Print Industries Federation,Greening the Print Industry,"Hackney, Islington, Tower Hamlets, Camden","Greening the Print Industry will assist print companies to improve their environmental practice. Companies will be provided with environmental audits and advice over time on how to cut down on harmful environmental substances, such as volatile inks, and make reductions in greenhouse gas emission, reduce waste make use of new technology that has fewer negative environmental effects, such as digital print. The project will assist companies to obtain internationally recognised standards of environmental accreditation in order that beneficiaries will be able to meet with demands of purchasers, many of whom require environmental accreditation as a condition of trade.",2009-2012,"£311,152",£0,"£311,152",£0,TBC,Atul Hatwal,atul@shoreditchtrust.org.uk
Centre for Environment & Safety Management for Business (CESMB) - Middlesex University,EcoVate - Advance Phase II,"Pan-London but with stronger focus on areas identified by delivery partners as in need of support including North West, Thames Gateway, East London boroughs ","EcoVate offers practical support for businesses to improve their environmental innovation performance, investigate opportunities for improved waste, energy and water management, identify cost benefits and options for green technologies and materials. Businesses can undertake an environmental review and up to 5 days tailored support including:  • Development of an environmental policy  • Support for waste minimisation, separation, recycling and related activity  • Assistance with energy reduction; guidance regarding energy efficient technologies and supporting grants  • Reduction of carbon footprint  • Brokerage of appropriate service suppliers (recyclers, energy suppliers etc)  • Legislative guidance  • Support for greening the supply chain.",2008-2011,"£1,901,623","£1,269,407","£327,217","£305,000",TBC,Ankit Kapasi,a.kapasi@mdx.ac.uk
Creative Environmental Networks,URBAN,Pan London,"SMEs from across London will be provided CEN’s specialist environmental knowledge accumulated across 10 years in the sector. 81 SMEs from across London will be supported to achieve a step change in their environmental performance.  Participating organisations will be supported to reduce their resource consumption and to realise the bottom line benefits of improved environmental performance.  Through site audits, and remote advice covering performance areas including transport, energy efficiency, renewable energy, procurement, waste management, and water efficiency.  Formal CSR reporting frameworks will be established, in-depth sustainability reports produced and comprehensive Climate Change Action Plan put in place. ",2008-2012,"£154,560","£154,560",£0,£0,TBC,Andrew Baker,andrewb@cen.org.uk
Croydon Business,Inspire South London ,"Croydon, Bromley, Sutton, Merton, Kingston, Richmond","ISL is a new programme designed to address the barriers to innovation and environmental management faced by south London SMEs, particularly those led by BAME, women and disabled entrepreneurs. Working closely with Business Link, ISL will combine the expertise of specialist business support organisations with the local knowledge, routes to market and feedback loops of local boroughs.  Fostering a culture of, and capacity for, innovation and sustainable growth within SMEs will be core to ISL’s service, which will also facilitate cross-sector collaboration opportunities, access to new markets across London (through horizontal project links), and provide innovation/ service differentiation.",2008-2012,"£1,635,000","£750,000","£885,000",£0,TBC,Lisa McCance,lmccance@croydonbusiness.com
Four Corners,Photo Imaging Network,Tower Hamlets,"Photo Imaging Network is a specialist development programme for 180 micro businesses/sole traders working in the high-growth Photo Imaging sector, that addresses business needs to adapt to new challenges brought about by the rapidly transforming digital landscape.  It will be delivered pan-London, with a strategic focus in East London.  The project addresses the significant sectoral under-representation of BAME, women and disabled creative entrepreneurs, providing specialist support measures to overcome barriers to economic stability and growth.  Actions include workshops covering the digital production process and distribution platforms, showcasing, business networking and development of innovative product including a prototype web marketing tool.",2009-2012,"£150,000",£0,£0,"£150,000",TBC,Carla Mitchell,carla@fourcornersfilm.co.uk
Global Action Plan,Environmental Savings Through ICT (green ICT),Pan London,"Environmental savings through ICT will provide innovative support around ICT efficiency and collaborative networking to SMEs across London, engaging them through strategic partnerships and targeted events. By providing various levels of support including bespoke one-to-one ICT environmental mentoring the project will: • Achieve measured improvements in SME performance through improved use of ICT • Increase SME awareness of and receptivity to technologies enabling them to operate more eco-efficiently and improve business flexibility around the effects of climate change • Increase knowledge sharing around environmental and business growth opportunities amongst SMEs • Support minority-owned businesses and those in disadvantaged areas of London",2009-2012,"£355,463",£0,£0,"£355,463",TBC,Jenny Garden,jenny.garden@globalactionplan.org.uk
Global Action Plan,Smartworks,Pan London,"SmartWorks will provide innovative support around Eco Efficiency to SMEs across London, engaging them through strategic partnerships with selected London Boroughs and large procurers. By providing both bespoke one-to-one specialist environmental mentoring and establishing collaborative networks between procurers and SMEs the project will:  • Achieve measured improvements in SME environmental and financial performance  • Increase SME awareness of and receptivity to technologies that will enable them to operate more eco-efficiently including renewable energy  • Create increased knowledge sharing and awareness of environmental and business growth opportunities amongst SMEs  • Support minority-owned businesses and those in disadvantaged areas of London",2008-2012,"£424,646","£45,000","£150,000","£229,646",TBC,Charlotte High,charlotte.high@globalactionplan.org.uk
Greater London Enterprise Ltd,E-Innovate: Building Innovation in BAME Businesses,Pan London,"E-Innovate extends innovation support services to businesses owned by women, disabled and BAME groups across London. These businesses are under-represented in services that support innovation and the exploitation of new ideas. E-Innovate will address the under investment in innovation common among these businesses and increase the participation of BAME led firms, to link them with knowledge bases and research centres. Through a web-portal, businesses will be able to access support, exchange best practice and network leading to successful collaborations.",2009-2011,"£1,875,000","£488,028","£1,386,972",£0,TBC,Peter Thackwray,peter.t@gle.co.uk
London Borough of Camden,Jewellery Connections,"Camden, Islington","The project will improve the competitiveness of technical manufacturers and designer-makers providing services in the jewellery sector and associated industries through fostering innovation in jewellery product development, design, manufacturing and access to market. The project will deliver business advice and guidance that fostering innovation, linking to the Business Expertise strand of the Business Support Simplification Process.  The project will encourage collaboration within the jewellery sector and with allied industries and support the creation of new supply chains within a sector which historically has suffered form fragmentation and a culture of closed networks. The project will offer a comprehensive package of technical support to businesses seeking to innovate ranging from initial business planning and market analysis through to promotion, marketing and retail merchandising.",2009-2011,"£300,630","£201,857","£98,773",£0,TBC,Fiona McKeith,fiona.mckeith@camden.gov.uk
Mazorca,Innovative Collaboration Networks for Smart Growth,Pan London,"Hidden Art is an award-winning, not-for-profit organisation dedicated to promoting and supporting designer-makers.  This project addresses barriers faced by disadvantaged design micro-enterprises in developing their ideas into products, and onto the market. It does this through innovative-collaboration networks for smart growth, minimising negative environmental/economic impacts, encouraging innovation and responsibility.  Addressing lack of:  • Access to information  • Skills  
• Markets  • Tailored progression-routes  • Need for innovative commercial strategies;  it provides:  • A ‘virtual’+face2face network;  • support-programmes (networking-sessions, peer role-models); and • Joint collaborations that enable lone micro-enterprises pool resources and together access Olympic/international opportunities.  Environmental advice will be offered to all beneficiaries to reduce environmental footprints.",2008-2011,"£665,279","£346,835","£318,446",£0,TBC,Dieneke Ferguson,dieneke@mazorcaprojects.com
