"Provider Name","Project Title","ESF Funding","Match Funding","Subcontractor","Contract Start Date","Contract End Date"
"TNG Ltd","Flexible Routeway",3200000,0,"None-Direct Delivery","28/07/2008","27/07/2011"
"Phoenix Enterprises","Flexible Routeway",1600000,0,"Prime","23/06/2008","22/06/2011"
"A4e Ltd","New Deal",0,3806353,"Lincoln & Gainsborough Adult Training First College Information technology Centre Seagull Hill Holt Wood",02/06/08,02/10/09
"Ingeus","Pathways",0,14696336,"NA",01/09/08,02/12/10
"TNG Ltd","Pathways",0,8144403,"Employment Opportunities Working Links InBiz Kynixa,",01/09/08,02/12/10
"In Training (ESD) Ltd","Flexible Routeway",4472830,0,"Business 2 Business","14/07/2008","13/07/2011"
"Remploy","Flexible New Deal",0,28600000,"NA",05/10/09,05/10/14
"Working Links","Flexible Routeway",5584992,0,"Enable Nottingham Probation Framework Kamyabi Community Project Ollerton & District Economic Forum Mansfield CVS BEST Occupational Testing & Recruitment Ltd Meadows Partnership Trust Co-Operative Community Action Ltd The renewal trust Esperanto MCTE CHUB Bilsthorpe Resource Centre British Trust for Conservation Volunteers Bestwood Partnership Forum Rethink","30/06/2008","29/06/2011"
"Working Links","Flexible Routeway",1795177,0,"Derbyshire Learning & Development",07/07/08,"29/06/2011"
"Working Links","Flexible Routeway",1098020,0,"Derbyshire Learning & Development",07/07/08,06/07/11
"TGB Learning","New Deal",0,5280215,"Council for Voluntary Service - Derby British Trust for Conservation Volunteers Age Concern Pitman Training Groundwork Cresswell Derby Chamber & Business Link Phoenix Enterprises",02/06/08,02/10/09
"A4e Ltd","Flexible New Deal",0,127191692,"NA",05/10/09,05/10/14
"A4e Ltd","Flexible New Deal",0,142960530,"NA",05/10/09,05/10/14
"Ingeus","Flexible New Deal",0,146518965,"NA",05/10/09,05/10/14
"TNG Ltd","Flexible New Deal",0,25400000,"NA",05/10/09,05/10/14
"Working Links","Flexible New Deal",0,29300000,"NA",05/10/09,05/10/14
