Provider Name,Project Title,Funding,Subcontractor,Contract Start Date,Contract End Date
CARE TRAINING EAST MIDLANDS LIMITED,"EM020  Destination 
Work ","£838,554.00",,8/1/08,12/31/10
"LINCOLN PELICAN 
TRUST LTD ",Skills For Jobs ,"£159,540.00",,8/16/08,3/28/11
BOSTON COLLEGE ,"Working 
Communities - Skills 
4 Jobs ","£1,642,304.00","Birchwood Access Centre, 
Abbey Access Centre, CG 
Partnership ",8/15/08,3/28/11
"NEW COLLEGE 
STAMFORD ",Post 16 NEET ,"£785,846.00",,7/30/08,12/29/10
"NEW COLLEGE 
STAMFORD ",Post 16 Youth ,"£89,058.00",,7/31/08,12/30/10
"NEW COLLEGE 
STAMFORD ",Pre 16 ,"£57,611.00",,7/31/08,12/30/10
"SKEGNESS COLLEGE 
OF VOCATIONAL 
TRAINING LIMITED ","Get Real - Post 16 
NEET ","£306,203.00","East Lindsey ITEC, CG 
Partnership ",7/31/08,12/30/10
"LEICESTER SHIRE 
CONNEXIONS 
TRADING LIMITED ",Post 16 Youth ,"£414,014.00",,8/2/08,12/29/10
"SHAW TRUST 
LIMITED(THE) ","Shaw Trust  Post 16 
YU ","£211,186.00",,7/31/08,12/30/09
"NORTHAMPTONSHIRE 
TRAINING AND 
DEVELOPMENT 
PARTNERSHIP ",Brighter Futures ,"£384,006.00",,8/1/08,12/31/10
"GUILSBOROUGH 
SCHOOL ","Mentoring, Level 2 
and Work 
Experience at 
Guilsborough School ","£50,399.00","Connexions, Aim Higher ",8/1/08,12/31/10
"DERBYSHIRE 
LEARNING & 
DEVELOPMENT 
CONSORTIUM ","EM010 Post 16 
Youth 
Unemployment ","£211,186.00",,7/1/08,12/31/10
"NORTHAMPTONSHIRE 
TRAINING AND 
DEVELOPMENT 
PARTNERSHIP ","EM050 NTDP - 
Brighter Futures 
PLUS ","£587,978.00","Canto, TNG Ltd, Options 2 
Workplace Learning Ltd, 
Kettering Boro Training, Nital Ltd",8/31/08,12/30/10
"LEICESTER SHIRE 
CONNEXIONS 
TRADING LIMITED ",Post 16 NEET ,"£2,075,859.00","L’Boro College, South Leics 
College, Leic City Council ",6/30/08,12/30/10
"LEICESTER SHIRE 
CONNEXIONS 
TRADING LIMITED ","Nextstep 
Leicestershire Skills 
for Jobs ","£646,167.46","Connexions,Work In 
Progress,Action Deafness ",8/1/08,12/31/10
"WEST 
NOTTINGHAMSHIRE 
COLLEGE ","EM020  County 
NEET Partnership 
Post 16  West Notts 
College ","£1,115,686.00","Castle College,Connexions 
Notts, Dyslexia Association, 
Enable, Groundword,New 
College Nottingham, North Notts 
College ",9/1/08,12/31/10
"FRAMEWORK 
HOUSING 
ASSOCIATION ","EM020 Skills for 
Jobs  Framework 
Housing ","£544,956.00",,9/1/08,12/31/10
"ROYAL MENCAP 
SOCIETY ",Post 16 Youth ,"£113,980.00",,8/1/08,10/31/09
YMCA DERBYSHIRE ,YMCA Post 16 Youth ,"£105,605.00",,8/1/08,9/30/09
LINCOLN COLLEGE ,S03 Pre 16 ,"£57,603.00","Lindum Group Ltd, Trent Valley 
Construction, Simon Group 
Ltd,Build a Future, CFBT ",9/1/08,12/31/10
"CONNEXIONS 
DERBYSHIRE LIMITED ","Connexions Pre 16 
Derbyshire ","£287,917.00",,8/1/08,12/31/10
