"Provider Name","Project Title","ESF Funding","Match Funding","Subcontractor","Contract Start Date","Contract End Date"
"In Training (ESD) Ltd","Flexible Routeway",5281136,0,"Armstrong Learning Shaw Trust BIS Salamis British Trust for Conservation Volunteers Norfolk & Waveney Enterprise Service Salvation Army Driving Training Construction Partnership East of England Chamber of Commerce Blackwater Training","23/06/2008","22/06/2011"
"Shaw Trust","Intermediate Labour Market",877500,0,"Mill Race IT Black Water Task Force","14/07/2008","13/07/2011"
"Shaw Trust","Intermediate Labour Market",1100000,0,"None - Direct Delivery","14/07/2008","13/07/2011"
"Shaw Trust","Flexible Routeway",3423316,0,"Hertford Career Service New Age Training Hertsmere Worknet Nextstep Pitman Training","14/07/2008","13/07/2011"
"Shaw Trust","PL Pathways",0,8670000,"Transformational Business Network Meridian East InBiz Dering Emp. Services Royal National Institute for the Blind Priory Health Work Solutions Employment Opps Salus Occupational Health",01/09/08,02/12/10
"TNG Ltd","New Deal",0,5940000,"Aintree Training Services Careers Development Group Kennedy Scott",02/06/08,02/10/09
"TNG Ltd","New Deal",0,3630000,"Aintree Training Services,Transformational Business Network",02/06/08,02/10/09
"Shaw Trust","Intermediate Labour Market",1500000,0,"Hertford Career Service,Bedfordshire Rural Community Charity Centre for Voluntary Service","14/07/2008","13/07/2011"
"Seetec","Flexible Routeway",3800000,0,"Whitehouse Enterprises,NEXTSTEP,Armstrong Learning,Richmond Fellowship","23/06/2008","22/06/2011"
"Seetec","Intermediate Labour Market",1799998,0,"Armstrong Learning,Richmond Fellowship,Merdian East","23/06/2008","21/06/2011"
"Trobius Limited","Flexible Routeway",2682631,0,"Meridian East, Move on East, Norfolk County Council","23/06/2008","22/06/2011"
"YMCA","NDYP/25+",0,3630000,"Aspire, Trust, Succeed Community, Employment Ltd",02/06/08,"28/03/2010"
"Shaw Trust","PL Pathways",0,14589995,"NA",01/09/09,"27/04/2011"
"Reed in Partnership","PL Pathways",0,15200000,"NA",01/09/09,"27/10/2011"
"A4e Ltd","Flexible New Deal",0,127191692,"NA",05/10/09,05/10/14
"TNG Ltd","Flexible New Deal",0,25400000,"NA",05/10/09,05/10/14
"YMCA","New Deal",0,4220000,"NA",02/06/08,02/10/09
