"CFO","Priority","Provider","Project Title","Funding","Subcontractor","Contract Start Date","Contract End Date"
"LSC",1,"PRINCES TRUST","Get Into….","£345,979.00","Activ People (providers of work placements at hospitals around the county)
ALM Training Services
Barnfield College
Best Assess Agency (providers of work placements at hospitals around the county)
Broadland Council Training Services
Cambridge Build Ltd
Cambridge Regional College
Colchester Leisure World
DC Leisure
DHL Excel Foundation
Essex & Suffolk Water
Eureka School Of Tiling
OPEN Norwich Youth Venue
Pioneer Sailing Trust
Rail Tech Training
Ridgemond Training
Serco
The Discovery Centre
Topps Tiles PLC
Tradesmans Entrance Ltd
UKSA
Urban Futures
Warrior Workshops",01/07/08,31/12/10
"LSC",1,"PRINCES TRUST","xl programme","£149,060.00","Sawyers Hall College
Sir Charles Lucas Arts College
Gateway Community College
Barstable
Chalvedon
Colbayns
Harwich
Thomas Lord Audley
Shoeburyness
Chase and Tabor High Schools
Barnfield College
Marriotts Sports College
The Park Education Support Centre
PRU
Francis Bacon and Sele Schools
Parkside PRU
Holywells
Westbourne High Schools",08/09/08,31/12/08
"LSC",1,"Seetec Business Technology Centre Ltd (Seetec)","Response to Redundancy SEETEC","£1,542,890.00","N\a",01/04/09,31/12/08
"LSC",1,"Herts Careers Services","Response to Redundancy HCS","£1,654,270.00","Oaklands College
Barnfield College
Dunstable College
Jemcare training and Consultancy
Exemplas
Pitman Training
Hertsmere Worknet
Flexible Training
New generation Services
UNIQUE Training Solutions
OPPS training and Development
Ridgemond Training
Protech Trainng
Bedford College
West Herts College
Bedford Training Group
North Hertfordshire College
Herts Regional College",01/04/09,31/12/08
"LSC",1,"THEATRE RESOURCE","CliPcambs","£428,133.00","Momentum Arts, Bolton's Warehouse, Tenison Road, Cambridge, CB1 2DG
Inspire, 2a Cambridge Road, Milton, Cambridge, CB24 6AW
Creative Arts East, Griffin Court, Market Street, Wymondham, Norfolk, NR18 0GU",01/02/09,31/12/10
"LSC",1,"THEATRE RESOURCE","CliPherts","£106,630.00",,01/02/09,31/12/10
"LSC",1,"THEATRE RESOURCE","CliPessex","£162,360.00","Momentum Arts, Bolton's Warehouse, Tenison Road, Cambridge, CB1 2DG",01/02/09,31/12/10
"LSC",1,"The Consultancy Home Counties Ltd","ESF Skills for Jobs","£3,665,720.00","Academy of Learning
AccessEurope HR
Action for Children NCH
Armstrong Mentoring
Bangladeshi Support Centre
Barnardos
Barnfield College
Bedford College
Bedfordshire ACL
Boots
BPHA
British Heart Foundation
Broadway Cinema
Brookers
Broxbourne Volunteer Bureau
Cambridge Care Agency
Cambridge Regional College
Cancer Research
Children’s Society
Citizens Advice Bureau
College of West Anglia (COWA)
Community Learndirect
Community Mothers
CVS Furniture
Digswell Nursery
Dunstable College
Electeria
Energize
EYS
Family Groups
FGH Controls Limited
Furniture Link
Great Yarmouth College
Hertfordshire Regional College
Herts Careers Service Trading as HCS
Ltd
Herts Young Homeless Group
Howard Digital
Huntingdon Regional College
Interaction Recruitment
Isobel Hospice
Jemcare
Kanegrade
Learning Partnership Luton &
Bedfordshire
Letchworth Art Centre
Livinroom Property Management
Lowestoft College
Luton Rights
Marie Cure – Shop
Marie Cure – Warehouse
Moveon East
New Age Training
Norfolk Training Services
North Hertfordshire College
(Employment Training)
OHM Computers
Oval Furniture
Oxfam
PDSA
Peterborough ACL (adult & community
learning)
Peterborough Regional College
Rap – Aid
Relate
Revival
Scope
Sri Guru Ravidass
Step by Step
Stevenage Community Trust
Stevenage Furniture Recycling
Stevenage Packaging Limited
Stimson’s Estate Agents
Suffolk Acre
Suffolk New College
The Chamber
The Living Room
The Prince’s Trust
Thurrock & Basildon College
Turning Corners
VCA South Bedfordshire
West Hertfordshire College
West Suffolk College
Westfield Community Adult Education
Work House
Wot – Nots
Writtle College (no info received),
Women’s Aid
YMCA",01/07/08,31/12/10
"LSC",1,"The Consultancy Home Counties Ltd","Response to Redundancy TCHC","£2,606,000.00","Adult Community Learning Essex
Barnfield College
Bedford College
Chelmsford College
City College Norwich
College of West Anglia
Driver Training Essex Ltd
Driver Transport Training DTT
Dunstable College/Chiltern Business
Training
Dunstable College
Harlow College
Hertford Regional College
Huntingdon Regional College
Lowestoft College
LOTA Training
Mpower Training Limited
New College Stamford
North Hertfordshire College
Norfolk Training Services
Peterborough College of Adult Education
Peterborough Regional College
SEEC
West Suffolk College
Writtle College Steve Warr",01/04/09,31/12/10
"LSC",1,"Education Youth Services","Rural Skills for Jobs","£374,250.00","WSG Associates",01/05/09,31/12/10
