"Project Name","Beneficiary Organisation","Project No","Project Activity","Total","EU","GOG (£)","PS (£)"
"Aluminium Services","Aluminium Services Ltd","07-13/001/ERDF","Purchase of tools, Uniforms, Advertising, IT Equipment, Furniture & Rent Subsidy Scheme",8836.3,2650.89,0,6185.41
"Computer Repairs","Newton Systems Ltd","07-13/002/ERDF","Renovation Works.",63400,19020,0,44380
"Mons Calpe Suite Renovation","M.H. Bland Ltd","07-13/003/ERDF","Building & Renovation Works",571936,148703.36,0,423232.64
"Atlantic Health Club","Atlantic Suites Health Club","07-13/005/ERDF","Building Works, Purchase of Equipment, Marketing & Website.",490805.71,147241.71,0,343564
"Health & Safety Services","HSE Consulting Limited","07-13/005/ERDF","Renovation Works, Purchase of Equipment, Import Duty & Freight Charges",178481.65,53544.5,0,124937.15
"Photo Finishing","Photofinish Limited","07-13/006/ERDF","Equipment, Software, Advertising & Import Duty.",13802.6,4140.78,0,9661.82
"Irish Bar","Lord Nelson Ltd","07-13/007/ERDF","Fitting-out Costs, Purchase of Equipment, Marketing & Import Duty.",484741.51,145422.45,0,339319.06
"Fire Prevention Services","Fire Security Gibraltar Ltd","07-13/008/ERDF","Equipment & Import Duty",11117.24,3335.17,0,7782.07
"Sporting Restaurant","KOP Limited","07-13/009/ERDF","Build & Refurbishment, Kitchen Equipment, Rent Subsidy Scheme & Import Duty",267660,80298,0,187362
"Beach Club","Jazz Nights Ltd","07-13/010/ERDF","Building Works, Furnitiure, Equipment & Import Duty",380301.93,114090.58,0,266211.35
"Dental Services","Dental Care Centre","07-13/011/ERDF","Dental Equipment & Import Duty",55228.44,16568.53,0,38659.91
"Optical Expansion","Gache & Co Ltd","07-13/012/ERDF","Equipment, Building Works, Furniture & Import Duty",99817.34,29945.2,0,69872.14
"Corks Renovation","Corks Wine Bar Ltd","07-13/013/ERDF","Building works, Equipment, furniture & Import Duty",166258.36,49877.51,0,116380.85
"Recycling Services ","Carteia Recycling","07-13/014/ERDF","Equipment, Building Works & Furniture & Import Duty",48246.31,14473.89,0,33772.42
"Wastage Services ","Wastage Products Limited","07-13/015/ERDF","Building Works, Equipment, Import Duty & Freight Charges",134532.76,40359.83,0,94172.93
"Fritters Shop","Camelot Holdings Limited","07-13/016/ERDF","Building Works, Equipment, Import Duty & Freight Charges",40617.64,12185.29,0,28432.35
"Advertising Services","Adme Limited    ","07-13/017/ERDF","Equipment, Installation of equipment,",341611.08,102483.32,0,239127.76
"Tyre Repairs","Caprasi Investments Limited    ","07-13/018/ERDF","Equipment, Installation of equipment,",57186.78,17156.03,0,40030.75
"Confectionery Services","Cupcake","07-13/019/ERDF","Building Works, Equipment, Freight & Import Duty, Website & Advertising & Rent Subsidy Scheme.",27489.9,8246.97,0,19242.93
"Grill Bar ","Nebbiolo Limited","07-13/020/ERDF","Building Works, Equipment & Import Duty",68336.06,19817.46,0,48518.6
"Tapas Bar","Patton Limited","07-13/022/ERDF","Building Works, Equipment & Furniture, Advertising & Rent Subsidy Scheme",61160.04,18348.01,0,42812.03
"Tapas/Wine Bar  ","Evensong Limited","07-13/023/ERDF","Building Works, Equipment & Furniture, Advertising & rent Subsidy Scheme",65197,19559.1,0,45637.9
"Solo Express","Anglo Hispano Company Limited","07-13/024/ERDF","Building Works, Equipment & Furniture, Advertising & rent Subsidy Scheme",157576.04,47275.81,0,110303.23
"Public Bus Service Phase II","Ministry for Transport","07-13/025/ERDF","Three Mini Buses ",313440,125376,0,188064
"Rojo Expansion  ","Cafﾎ Rojo","07-13/026/ERDF","Building Works & Equipment ",62278,18683.4,0,43594.6
"Montaditos Bar   ","Una Boca De Todo","07-13/027/ERDF","Building Works & Equipment ",63855.5,19156.65,0,44698.85
"Play Centre ","Aping About Limited","07-13/028/ERDF","Building Works & Equipment & Furniture, Advertising & Website, Freight, Import Duty & Rent Subsidy Scheme",156840.5,47052.15,0,109788.35
