"Provider Name","Project Title","ESF Funding","Match","Subcontractor","Contract Start Date","Contract End Date"
"TNG Ltd","ESOL Provision",1800000,0,"Crisis, The Renewal Programme","28/07/2008","27/07/2011"
"Tomorrows People Trust Ltd","Outreach and Hardest to Help",1550000,0,"Community Links, Springboard","28/07/2008","27/07/2011"
"Tomorrows People Trust Ltd","Pre-Employment Skills and In Work Support",3600000,0,"Community Links, Springboard","28/07/2008","27/07/2011"
"Ingeus","Help for the Homeless Spotlights and Up and Running Programmes",1950000,0,"South Bank Employers Group, St Mungos, Inbiz","21/07/2008","20/07/2011"
"Ingeus","Breakthrough and Right Road Programmes",2150000,0,"Southwark Works, The Start Project","21/07/2008","20/07/2011"
"Seetec","Hardest to Help",4100000,0,"5ELtd,Richmond Fellowship,ProDiverse UK Ltd","23/06/2008","22/06/2011"
"Working Links","Hardest to Help",4042505,0,"Royal London Society for the Blind,Lifeline,Disablement Association of Barking and Dagenham","14/07/2008","13/07/2011"
"Seetec","Hardest to Help",2800000,0,"Eco-Actif Services CIC,Personal Development Resource Centres Ltd","23/06/2008","22/06/2011"
"Working Links","Intensive Jobsearch Provision",2510260,0,"Groundwork,One Parent Families/Gingerbread,Pinnacle Housing",07/07/08,"30/06/2011"
"A4e Ltd","Hardest to Help",2709864,0,"Citizens Trust,Acton Training Centre,Strategic Partnership","23/06/2008","22/06/2011"
"Ingeus","PL Pathways",0,12990000,"NA",01/09/08,02/12/10
"Reed in Partnership","PL Pathways",0,23030000,"NA",01/09/08,02/12/10
"Reed in Partnership","PL Pathways",0,21040000,"NA",01/09/08,02/12/10
"Reed in Partnership","PL Pathways",0,18400000,"NA",01/09/08,02/12/10
"A4e Ltd","New Deal",0,3400000,"NA",02/06/08,02/10/09
"Community Links","New Deal",0,4000000,"NA",02/06/08,"28/03/2010"
"Ingeus","Hardest to Help",1950000,0,"Red Kite Learning,Broadway","21/07/2008","20/07/2011"
"Ingeus","Hardest to Help",1950000,0,"Red Kite Learning,Crisis","21/07/2008","20/07/2011"
"Kennedy Scott","Hardest to Help",2519365,0,"PLIAS Resettlement,Lifeline Trust,Citizens Trust","23/06/2008","22/06/2011"
"Skills Training","New Deal",0,4400000,"NA",02/06/08,"28/03/2010"
"CDG","New Deal",0,2700000,"NA",02/06/08,02/10/09
"CDG","New Deal",0,2700000,"NA",02/06/08,02/10/09
"Ingeus","PL Pathways",0,12200000,"NA",01/09/08,02/12/10
"Ingeus","PL Pathways",0,12440000,"NA",03/10/07,02/12/10
"A4e Ltd","Flexible New Deal",0,219078915,"NA",05/10/09,05/10/14
"Calder Holdings BV","Flexible New Deal",0,41000000,"NA",05/10/09,05/10/14
