"Provider Name","Project Title","Funding","Delivery partners","Contract Start Date","Contract End Date"
"Action Acton  ","Ealing One Stop 
Shop Jobs Network ","£664,544.00","Third Age Foundation, Ealing Community and Voluntary Services, Empowering Action and Self Esteem, Somali Youth Union, Pre School Learning Alliance, Ealing Centre for Independent Living, Twinings Enterprise",01/04/09,31/03/11
"Turning Point 
ACAPS ","Next Steps ","£249,754.00","Barnet College, Lambeth College",01/04/08,31/03/10
"Red Kite 
Learning ","Fresh Start ","£218,788.00","Equinox, Broadway, Addaction, Russell Webster, Spear",01/04/08,31/03/10
"Shaw Trust Ltd. ","Shaw Trust LSASM 
Project ","£219,918.00",,01/04/08,31/03/10
"St Giles Trust ","Support into Work ","£216,875.00","Southside Partnership, Croydon Resource Centre, Deptford Churches Centre",01/04/08,31/03/10
"The Salvation 
Army ","Moving Up and On  ","£217,656.00","Tomorrow’s People ",01/04/08,31/03/10
"Broomleigh 
Housing 
Association  ","Homeless Families 
Support Project  ","£219,450.00",,01/04/08,31/03/10
"Off the Streets 
and into Work 
(OSW) ","Work for Homeless 
Households ","£257,470.00",,01/04/08,31/03/10
"The Vine 
Project, Surrey ","Moving forward ","£218,663.00",,01/04/08,31/03/10
"5E Ltd. ","Parents into Work ","£213,232.00",,01/04/08,31/03/10
"Community 
Links ","Working Together ","£203,812.00","Bromley by Bow Centre, Urban Lynx",01/04/08,31/03/10
"Groundwork London; (Groundwork UK, London Regional Office)","Moving Forward ","£242,337.00","London College of Early Years Care and Education, Informatt Ltd",01/04/08,31/03/10
"Tamil Relief Centre - Enfield Education and Training Centre","Parents into Jobs 
(PIJ) ","£231,152.00","Informatt Ltd ",01/04/08,31/03/10
"Women Like Us","From Playground to 
Payslip ","£224,312.00",,01/04/08,31/03/10
"ELATT","Learn to Integrate 
(II) ","£249,631.00","Halkevi, Somali Employment and Training 
project, Springboard Hackney, Pro Diverse, MI Computsolutions, The Wadajir Community Centre, The Alhuda Cultural Centre and Mosque ",01/04/08,31/03/10
"Kenya Women Association (KEWA)","Ascend ","£221,690.00","Widows and Orphans International ",01/04/08,31/03/10
"Pecan ","Engage ","£198,627.00",,01/04/08,31/03/10
"Refugees in 
Effective and 
Active 
Partnership ","Preparing for 
Interpreting 
Programme (PIP) ","£222,343.00","Hillingdon Law Centre, Southall Community Alliance, Sahan   ",01/04/08,31/03/10
"TR TEC ","Basic Skills 
Training ","£227,377.00","Oxford College ",01/04/08,31/03/10
