Organisation Name,Project Name,Value,Delivery Partners,Start Date,End Date,,
ACTION ACTON LIMITED ,"Young Offenders in Custody & the 
Community","£210,000.00 ","Feltham YOI 
Community 
Chaplaincy, Intuition PIMMS, Mel Productions ",1/1/09,31/12/2010 ,,
"AKADEMI SOUTH ASIAN 
DANCE UK ",ReAct  ,"£340,919.50 ","Bharatiya Vidya Bhavan, Brent Connexions, Copland Community School, Patidar Samaj Community Organisation (Brent)",17/01/2009 ,31/12/2010 ,,
"AMICUSHORIZON GROUP 
LIMITED ",Y/S01 ,"£87,499.30 ",SLFHA Ltd. ,10/1/09,31/12/2010 ,,
ASPHALEIA LIMITED ,"Youth Engage 
Support (YES) 2 ","£62,498.98 ","Phoenix 
Community Care ",1/12/08,30/11/2010 ,,
ASPHALEIA LIMITED ,"Youth, Engage, 
Support (YES) ","£195,338.70 ","Hillingdon Social 
Services, Hillingdon LACEd, Rosedale College, Connexions ",1/8/08,31/12/2010 ,,
ASPHALEIA LIMITED ,"Time 2 Learn 
(T2L) ","£437,765.00 ","Hillingdon Social 
Services Child 
Asylum Team, Hillingdon Social NEET Team, Hillingdon Social Services LACEd Team, Connexions",1/8/08,31/12/2010 ,,
BE TOTALLY YOU ,Be Totally You ,"£216,292.00 ","Deptford Green 
Secondary School, London East 
Connexions, Sydenham Secondary school, Voluntary Action Lewisham ",1/11/08,31/07/2010 ,,
BE TOTALLY YOU ,Be Totally You ,"£415,949.00 ","Deptford Green 
Secondary School, London East 
Connexions, Sydenham 
Secondary school, Voluntary Action Lewisham ",1/11/08,31/07/2010 ,,
"BUSINESS AND EDUCATION 
LONDON SOUTH ","Jumpstart 
Employment & 
Develop your 
Initiative (JEDI) ","£702,342.82 ","Bromley London Borough Council, Croydon Education Business Partnership, Kingston and Merton Education Business Partnership, Richmond upon Thames London Borough Council, Kingston upon Thames Royal Borough Council, Sutton London Borough Council, Young Enterprise London, NLP Academy, Sutton and District Training Ltd.",1/10/08,30/11/2010 ,,
"CAREERS DEVELOPMENT 
GROUP ",Skills for Jobs ,"£354,812.00 ",,1/9/08,31/03/2010 ,,
"CAREERS ENTERPRISE 
LIMITED ","ESF NEET 
Project  ","£705,000.00 ","Lewisham College, The Prince's Trust, Barking College, Lewisham EBP, Motorvations, LFB",1/11/08,31/12/2010 ,,
"CERTIFIED COMPUTING 
PERSONNEL LTD ","Kick Start 
Programme ","£42,000.00 ","Youth Offending 
Service, Job Centre Plus, Connexions, Local Authorities",1/4/09,31/03/2010 ,,
CFBT EDUCATION TRUST ,FOCUs ,"£285,000.00 ","Hillingdon Borough 
Council ",1/12/08,30/11/2010 ,,
CITY GATEWAY LIMITED  ,"Early Intervention 
IAG ","£433,990.60 ","Lifeline, Tower Hamlets Hub, Southwark, Hackney & Barking and Dagenham 14-19 Partnership ",1/7/08,30/11/2010 ,,
CITY GATEWAY LIMITED  ,"Personalised 
Post-16 Inclusion 
Places ","£356,692.70 ","Pecan, Lifeline, Tower Hamlets Hub, Southwark, 
Hackney and 
Barking & 
Dagenham 14-19 
Partnership ",1/9/08,31/12/2010 ,,
CITY GATEWAY LIMITED  ,SO3 ,"£290,000.00 ",,12/11/08,31/12/2009 ,,,
"CITY OF WESTMINSTER 
COLLEGE ",Personal Best ,"£686,700.00 ","Westminster Adult Education, Working Men's College, City and Islington College, Kensington and Chelsea College, Paddington Development Trust ",1/9/08,31/08/2010 ,,,
CLAPHAM PARK PROJECT ,"Personal Best 
Programme ","£200,000.00 ","Lambeth College, Stockwell Community Resource Centre, Clapham Park Project",1/11/08,31/10/2010 ,,,
COLLAGE ARTS.  ,ArtWork   ,"£696,209.00 ","Prevista, WAC Performing Arts & Media College, Head for Business, Kensington and Chelsea College",1/9/08,30/03/2010 ,,,
"COLLEGE OF NORTH WEST 
LONDON ",Personal Best ,"£176,398.25 ","Brent London Borough Council, Brent in 2 Work ",1/9/08,31/08/2010 ,,,
"COMMUNITY CAREERS 
CENTRE ","Flexi-Pathways 
14-19 ","£356,698.63 ","HAFD, Yellow Board, Arabic Centre for Career Development and Islamic Culture, PAWS ",1/9/08,30/11/2010 ,,,
"COMMUNITY LINKS TRUST 
LIMITED ","Positive 
Pathways ","£592,654.28 ","Urban Lynx, Newnham London Borough Council, Connexions ",1/9/08,30/09/2010 ,,,
"COMMUNITY LINKS TRUST 
LIMITED ",Moving Forward ,"£666,770.00 ","Connexions, Newnham London Borough Council, Urban Lynx ",1/9/08,31/12/2010 ,,,
"COMMUNITY LINKS TRUST 
LIMITED ","Pathways to 
Employment ","£666,000.00 ","Kennedy Scott, Tomorrows People, Urban Lynx",1/1/09,31/12/2010 ,,,
COMPUTER GYM (UK) LTD ,"Changing Skills 
and Lives  ","£770,000.00 ","Havering College, Red Kite Learning, St Giles Trust",1/1/09,31/12/2010 ,,,
"CULTURAL INDUSTRIES 
DEVELOPMENT AGENCY 
LIMITED  ",Y/S04 ,"£149,729.00 ",Dv8 Training ,1/11/08,31/12/2009 ,,,
DEANS LONDON LIMITED  ,Future Focus ,"£286,400.36 ","Widows and 
Orphans, UXL ",1/1/09,31/12/2009 ,,,
"DISABILITY TIMES TRUST 
(Also known as Citizens Trust) ","The Disability 
Employment  & 
Skills Service ","£630,000.00 ","Ealing Dyslexia 
Association, Hammersmith and 
Fulham Association 
For The Disabled, Twining Enterprise, Learning Curve ",1/1/09,31/12/2010 ,,,
"EALING LONDON BOROUGH 
COUNCIL ",A/S01 ,"£449,555.78 ","Ealing Mencap, West London Mental Health Trust, Ealing Primary Care Trust, Ealing Hospital Trust ",1/1/09,31/12/2010 ,,,
"EALING, HAMMERSMITH 
AND WEST LONDON 
COLLEGE ","Flexible Learning 
Opportunities ","£294,432.00 ","Connexions South 
(referral partner 
only), Connexions West 
(referral partner 
only), Bang Edutainment, Skills Training UK",1/9/08,31/12/2010 ,,,
"EALING, HAMMERSMITH 
AND WEST LONDON 
COLLEGE ",Skills for Jobs ,"£175,000.00 ","Urban Partnership 
Group (Formerly 
Blythe 
Neighbourhood 
Council – Masbro 
Centre), Skills Training UK, Action Acton, Refugees into jobs ",19/09/2008 ,31/08/2010 ,,,
"EAST LONDON ADVANCED 
TECHNOLOGY TRAINING ",Skills for Jobs ,"£554,610.00 ","Community Links, Bromley By Bow Centre, MIC Solutions, Lifeline, East Potential, Family Mosaic, Clapton Community Training Housing Trust",1/10/08,30/09/2010 ,,,,,,,
EAST POTENTIAL ,A2 Project ,"£184,014.00 ","ELATT, Birkbeck College",1/11/08,31/12/2010 ,,,,,,,
FAIRBRIDGE ,"Engaging NEETs 
in flexible 
learning 
opportunities ","£542,858.99 ","Lifeline Projects, Rainer Crime Concern, Catch 22 ",15/01/2009 ,31/12/2010 ,,,,,,,
"FOUR COUNTIES TRAINING 
LIMITED ","FCT 
Employability 
Programme ","£149,998.80 ","Entrepreneurs in Action, London Underground Limited, Job Centre plus, Go Skills",1/9/08,17/08/2010 ,,,,,,,
"GHARWEG ADVICE, 
TRAINING & CAREERS 
CENTRE ","GHARWEG & 
OBAC 
Employability 
Project ","£509,997.90 ","Organisations of Blind African Caribbeans, Eritrean Education & Publication Trust, French Speaking African Group, African Child Association, ABSE Personal, Eritrean Education & Publication Trust, London Refugee Voice, Cameroon Asylum 
Support 
Association (CASA) 
Uk",1/5/09,31/12/2010 ,,,,,,,
GROUNDWORK LONDON  ,"The Bexley 
Challenge 
Programme ","£210,224.00 ",,1/1/09,31/12/2010 ,,,,,,,
"HAMMERSMITH AND 
FULHAM LONDON 
BOROUGH COUNCIL ","Early Intervention 
IAG ","£45,989.96 ","Ealing Hammersmith and West London College, Burlington Danes Academy, Fulham Cross Girl's School",1/9/08,31/12/2009 ,,,,,,,
HARROW COLLEGE ,"Personal Best 
Programme ","£159,999.00 ","Harrow Council, Brent & Harrow Education Business Service, Choices for All, Home Group",1/9/08,31/08/2010 ,,,,,,,
"HAVERING ASSOCIATION 
OF VOLUNTARY AND 
COMMUNITY 
ORGANISATIONS LIMITED ",Personal Best ,"£179,960.00 ","Havering Job Net, Job Centre Plus, Reed Partnership, Havering London Borough  ",30/09/2008 ,29/09/2010 ,,,,,,,
"HAVERING ASSOCIATION 
OF VOLUNTARY AND 
COMMUNITY 
ORGANISATIONS LIMITED ",Rebound Project ,"£184,020.00 ","Havering Business 
Education 
Partnership, Havering’s 
Integrated Youth 
Services, Prospects Services 
Limited, The Squarewheel Project ",1/1/09,31/12/2010 ,,,,,,,
"HAVERING COLLEGE OF 
FURTHER AND HIGHER 
EDUCATION ",Kick Start ,"£193,075.00 ",,1/11/08,31/12/2010 ,,,,,,,
HEAD TO HEAD TRAINING ,"The ACES 
School Pathways 
Project (ASPP) ","£385,059.00 ",Redwood Skills ,1/1/09,31/12/2010 ,,,,,,,
"ISLINGTON TRAINING 
NETWORK ","Youth 
Opportunities ","£177,500.00 ","UCKG Help Centre, ELC, African Youth Trust (AYT), Film & Video Workshop (FVW) Single Homeless Project (SHP)",1/1/09,31/12/2010 ,,,,,,,
"ISLINGTON TRAINING 
NETWORK ","Investment In 
Youth ","£170,163.00 ","Talk Together London, Film and Video Workshop",1/9/08,31/08/2010 ,,,,,,,
"KEEPING IT SIMPLE 
TRAINING LIMITED ","Effective 
Parenting ","£124,996.00 ",,1/10/08,31/12/2010 ,,,,,,,
