"priority","name_of_beneficiary_organisation","name_of_the_project","erdf_amount_committed","other_public_funding_committed","total_committed","other_public_funding_allocated","total_amount_paid_at_the_end_of_the_project"
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Bolton Business Ventures Limited","Transitional Small Business Loan Fund Lancashire and North Manchester","£450,000.00","£450,000.00","£900,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Business Link Northwest","Access to Finance","£1,774,748.00","£1,774,748.00","£3,549,496.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Catalyst Science Discovery Centre","Catalyst Science Discovery Centre","£596,800.00","£0.00","£1,228,120.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Chamberlink Limited","International Capabilities Transfer Programme","£1,629,978.00","£1,629,978.00","£3,259,956.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Cumbria Community Asset Reinvestment Trust Ltd","Transitional Small Business Loan Fund Cumbria","£400,000.00","£400,000.00","£800,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","EA Technology Ltd","Energy Innovation Centre","£620,000.00","£620,000.00","£1,240,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Envirolink Northwest","Low Carbon Market Development Programme","£1,035,760.00","£1,035,760.00","£2,071,520.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Envirolink Northwest","Northwest Environmental Technologies and Services Cluster Development Programme","£1,006,307.00","£1,006,313.00","£2,012,620.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Envirolink Northwest","Northwest Waste Technology Virtual Centre of Excellence II","£2,747,000.00","£2,747,000.00","£5,494,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Groundwork Northwest (ENWORKS)","Environmental Business Support","£2,549,860.00","£2,549,870.00","£5,099,740.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Lancaster University","Eco-Innovation","£1,754,536.00","£1,754,536.00","£3,509,072.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Medilink Northwest","Medilink Northwest - Innovate to Grow","£400,000.00","£400,000.00","£800,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Mersey Maritime Ltd","Maritime Sector Development","£450,000.00","£450,000.00","£900,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Merseyside Special Investment Fund Limited","Transitional Loan Fund","£1,000,000.00","£1,000,000.00","£2,000,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Merseyside Special Investment Fund Limited","Transitional Small Business Loan Fund Merseyside","£900,000.00","£900,000.00","£1,800,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","National Council for Graduate Entrepreneurship","Higher Education Enterprise Champions","£585,000.00","£585,000.00","£1,170,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Northwest Regional Development Agency","High Growth Knowledge Business Start-Up","£2,267,334.00","£6,419,773.00","£8,687,107.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Northwest Regional Development Agency","Carbon Reduction Capital Purchase Awards","£2,161,000.00","£2,161,000 ","£4,322,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Northwest Regional Development Agency","Carbon Reduction Demonstrator Awards","£1,081,000.00","£1,081,000 ","£2,162,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","North West Vision and Media","North West Vision and Media Cluster Development Programme","£2,755,538.00","£2,755,538.00","£5,511,076.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","NW VCLF HF LLP","Interim Loan Fund","£2,250,000.00","£2,250,000.00","£4,500,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","Salford City Council","Media Enterprise Centre, MediaCityUK","£4,230,874.00","£4,230,874.00","£8,461,748.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","The Enterprise Fund Limited t/a Business Finance Solutions","Transitional Small Business Loan Fund Manchester and Cheshire","£475,000.00","£475,000.00","£950,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","The Mersey Partnership","Sector Development for the Visitor Economy in the Liverpool City Region","£3,203,743.00","£3,203,743.00","£6,407,486.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","The Social Enterprise Loan Fund","Transitional Small Business Loan Fund - Social Enterprise","£125,000.00","£125,000.00","£250,000.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","The University of Manchester","Centre of Excellence for Biopharmaceuticals","£2,350,340.00","£2,350,340.00","£4,700,680.00",,
"Priority 1: Stimulating Enterprise & Supporting Growth in Target Sectors and Markets","University of Salford","North West Construction Knowledge Hub","£3,000,000.00","£3,000,000.00","£6,000,000.00",,
" Priority 2: Exploiting Innovation & Knowledge","Bolton Business Ventures Limited","Transitional Small Business Loan Fund Lancashire and North Manchester","£450,000.00",,,"£450,000.00","£900,000.00"
" Priority 2: Exploiting Innovation & Knowledge","Business Link Northwest","Enhancing the Business Link Service Innovation Specialist Brokerage Service","£1,635,347.00",,,"£1,635,347.00","£3,270,694.00"
" Priority 2: Exploiting Innovation & Knowledge","Cumbria Community Asset Reinvestment Trust Ltd","Transitional Small Business Loan Fund Cumbria","£400,000.00",,,"£400,000.00","£800,000.00"
" Priority 2: Exploiting Innovation & Knowledge","Lancaster University","IDEAS @ Daresbury","£384,914.00",,,"£384,914.00","£769,828.00"
" Priority 2: Exploiting Innovation & Knowledge","Lancaster University","Infolabs Strategic Innovation Support Programme (ISIS)","£1,975,316.00",,,"£1,975,316.00","£3,950,632.00"
" Priority 2: Exploiting Innovation & Knowledge","Lancaster University","Susdram","£979,648.00",,,"£979,648.00","£1,959,296.00"
" Priority 2: Exploiting Innovation & Knowledge","Merseyside Special Investment Fund Limited","Transitional Loan Fund","£1,000,000.00",,,"£1,000,000.00","£2,000,000.00"
" Priority 2: Exploiting Innovation & Knowledge","Merseyside Special Investment Fund Limited","Transitional Small Business Loan Fund Merseyside","£900,000.00",,,"£900,000.00","£1,800,000.00"
" Priority 2: Exploiting Innovation & Knowledge","Northwest Regional Development Agency","Innovation Vouchers","£2,000,000.00",,," £2,000,000","£4,000,000.00"
" Priority 2: Exploiting Innovation & Knowledge","Northwest Regional Development Agency","Grant for Research and Development","£1,100,000.00",,,"£1,100,000 ","£2,200,000.00"
" Priority 2: Exploiting Innovation & Knowledge","Northwest Regional Development Agency","Future MAS","£8,508,608.00",,,"£8,508,608.00","£17,017,216.00"
" Priority 2: Exploiting Innovation & Knowledge","NW VCLF HF LLP","Interim Loan Fund","£2,250,000.00",,,"£2,250,000.00","£4,500,000.00"
" Priority 2: Exploiting Innovation & Knowledge","The Enterprise Fund Limited t/a Business Finance Solutions","Transitional Small Business Loan Fund Manchester and Cheshire","£475,000.00",,,"£475,000.00","£950,000.00"
" Priority 2: Exploiting Innovation & Knowledge","The Social Enterprise Loan Fund","Transitional Small Business Loan Fund Social Enterprise","£125,000.00",,,"£125,000.00","£250,000.00"
" Priority 2: Exploiting Innovation & Knowledge","University of Liverpool","Knowledge Exchange in Laser Engineering (KE-Las)","£882,000.00",,,"£882,000.00","£1,764,000.00"
" Priority 2: Exploiting Innovation & Knowledge","University of Liverpool","North West Virtual Engineering Centre","£2,501,743.00",,,"£2,501,743.00","£5,003,486.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Cumbria Tourism","Regional Marketing Culture and Heritage","£2,400,000.00",,,"£806,456.00","£4,800,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","English Cities Fund","St Paul's Square Phase 3","£4,641,000.00",,,"£4,159,000.00","£19,712,727.00"
"Priority 3: Creating the Conditions for Sustainable Growth","English Partnerships","Lime Street Gateway","£3,055,000.00",,,"£3,919,806.00","£6,974,806.00"
