Ref. No,Organisation Name,Project Title,Year Approved,Total Grant Approved,Year Completed,Total Paid Amount,Currency
Sustainable Competitiveness Program,,,,,,,
2641,Trucorp Ltd,070947 Trucorp Lt...,2008,"20,616.00",,"20,616.00",STG
2663,Tesab Engineering...,Loo 07/BIA/10 Tes...,2007,"40,000.00",,"32,000.00",STG
2664,Clarehill Plastic...,Loo 07/BIA/12 Cla...,2007,"40,000.00",,"32,000.00",STG
2665,McElwaine Group,Loo 0/BIA/13 McEl...,2007,"40,000.00",,"20,000.00",STG
2668,McNeill McManus G...,Loo07/BIA/11 McNe...,2007,"38,000.00",,"19,000.00",STG
2681,Spanboard,Loo 07/BIA/14 Spa...,2007,"23,503.00",,"8,813.64",STG
2682,Axa Insurance,05/04/2007 Axa In...,2007,"200,000.00",,"68,614.00",STG
2689,Verticle Wind Ene...,070689 Verticle W...,2007,"35,000.00",,"35,000.00",STG
2694,Hilton Meats (Coo...,01/10/2007 Hilton...,2007,"163,739.00",,"36,612.63",STG
2697,Denroy Plastics,08/BIA/07 Denroy ...,2008,"25,000.00",,"18,125.00",STG
2698,North West of Ire...,13/02/2008 North ...,2008,"146,350.00",,"60,131.40",STG
2701,Linton Ag Industr...,Loo 07/0406 Linto...,2007,"35,000.00",,"35,000.00",STG
2704,Nitronica LTD,26/06/2007 Nitron...,2007,"136,000.00",,"24,473.75",STG
2707,Moyle Engineering...,Loo 70837 Moyle E...,2007,"35,000.00",,"29,171.00",STG
2708,Belfast City Coun...,Environmental Sup...,2009,"31,821.00",,"23,335.12",STG
2711,EPS Environmental...,12/06/2007 EPS En...,2007,"90,215.00",,"51,999.00",STG
2714,Fireglass Direct ...,Loo70663 Fireglas...,2007,"14,938.00",,"5,653.00",STG
2717,Alpha Environment...,09/10/2007 Alpha ...,2007,"79,338.00",,"32,669.16",STG
2718,Tecnico Logix Ltd...,Loo 070742 Tecni...,2007,"34,584.00",,0,STG
2720,Munster Simms Eng...,23/07/2007 Munste...,2007,"74,384.00",,"45,196.81",STG
2721,Aerona Software S...,Loo 070530 Aerona...,2007,"33,970.00",,"18,736.00",STG
2727,PPI Ltd,Loo70964 PPI Ltd,2008,"32,906.00",,"14,800.00",STG
2728,BHB Safety Specia...,16/10/2007 BHB Sa...,2007,"61,060.00",,0,STG
2729,Specialist Joiner...,30/10/2007 Specia...,2007,"51,222.00",,"50,905.70",STG
2730,Potter Cowan & Co...,Loo 70452 Potter ...,2007,"32,172.00",,0,STG
2732,P.M. Fireplaces,12/10/2007 P.M. F...,2007,"47,052.00",,"20,277.00",STG
2733,CCS,Loo 71028 CCS,2008,"31,805.00",,"26,972.00",STG
2740,Ashdale Engineeri...,19/11/2007 Ashdal...,2007,"44,791.00",,"10,705.32",STG
2741,Ultra Spreader In...,Loo 070341 Ultra ...,2007,"30,480.00",,"11,245.00",STG
2742,Label One Limited...,04/06/2007 Label ...,2007,"38,375.00",,"29,129.16",STG
2743,Charles & Irene S...,06/08/2007 Charle...,2007,"38,086.00",,"21,445.86",STG
2752,Arcatech Ltd,28/11/2007 Arcate...,2007,"36,317.00",,"18,458.00",STG
2753,Briway Tracks Ltd...,Loo 070627 Briway...,2007,"26,040.00",,0,STG
2755,Sherwood Systems ...,02/07/2007 Sherwo...,2007,"35,729.00",,0,STG
2758,Cater Waste Produ...,L00 070717 Cater ...,2007,"20,997.00",,"11,347.00",STG
2759,Essential Designs...,04/07/2007 Essent...,2007,"30,825.00",,"29,161.59",STG
2760,William Clark & S...,Loo 70817 William...,2007,"18,918.00",,"1,022.00",STG
