Name of beneficiary organisation,Name of the project,ERDF amount committed,Other public funding committed,,Total committed
Bolton Business Ventures Limited,Transitional Small Business Loan Fund Lancashire and North Manchester,"£450,000","£450,000","£900,000",
Business Link Northwest,Access to Finance,"£1,774,748","£1,774,748","£3,549,496",
Catalyst Science Discovery Centre,Catalyst Science Discovery Centre,"£596,800",£0,"£1,228,120",
Chamberlink Limited,International Capabilities Transfer Programme,"£1,629,978","£1,629,978","£3,259,956",
Cumbria Community Asset Reinvestment Trust Ltd,Transitional Small Business Loan Fund Cumbria,"£400,000","£400,000","£800,000",
EA Technology Ltd,Energy Innovation Centre,"£620,000","£620,000","£1,240,000",
Envirolink Northwest,Low Carbon Market Development Programme,"£1,035,760","£1,035,760","£2,071,520",
Envirolink Northwest,Northwest Environmental Technologies and Services Cluster Development Programme,"£1,006,307","£1,006,313","£2,012,620",
Envirolink Northwest,Northwest Waste Technology Virtual Centre of Excellence II,"£2,747,000","£2,747,000","£5,494,000",
Groundwork Northwest (ENWORKS),Environmental Business Support,"£2,549,860","£2,549,870","£5,099,740",
Lancaster University,Eco-Innovation,"£1,754,536","£1,754,536","£3,509,072",
Medilink Northwest,Medilink Northwest - Innovate to Grow,"£400,000","£400,000","£800,000",
Mersey Maritime Ltd,Maritime Sector Development,"£450,000","£450,000","£900,000",
Merseyside Special Investment Fund Limited,Transitional Loan Fund,"£1,000,000","£1,000,000","£2,000,000",
Merseyside Special Investment Fund Limited,Transitional Small Business Loan Fund Merseyside,"£900,000","£900,000","£1,800,000",
National Council for Graduate Entrepreneurship,Higher Education Enterprise Champions,"£585,000","£585,000","£1,170,000"
Northwest Regional Development Agency,High Growth Knowledge Business Start-Up,"£2,267,334","£6,419,773","£8,687,107"
Northwest Regional Development Agency,Carbon Reduction Capital Purchase Awards,"£2,161,000","£2,161,000 ","£4,322,000"
Northwest Regional Development Agency,Carbon Reduction Demonstrator Awards,"£1,081,000","£1,081,000 ","£2,162,000"
North West Vision and Media,North West Vision and Media Cluster Development Programme,"£2,755,538","£2,755,538","£5,511,076"
NW VCLF HF LLP,Interim Loan Fund,"£2,250,000","£2,250,000","£4,500,000"
Salford City Council,"Media Enterprise Centre, MediaCityUK","£4,230,874","£4,230,874","£8,461,748"
The Enterprise Fund Limited t/a Business Finance Solutions,Transitional Small Business Loan Fund Manchester and Cheshire,"£475,000","£475,000","£950,000"
The Mersey Partnership,Sector Development for the Visitor Economy in the Liverpool City Region,"£3,203,743","£3,203,743","£6,407,486"
The Social Enterprise Loan Fund,Transitional Small Business Loan Fund - Social Enterprise,"£125,000","£125,000","£250,000"
The University of Manchester,Centre of Excellence for Biopharmaceuticals,"£2,350,340","£2,350,340","£4,700,680"
University of Salford,North West Construction Knowledge Hub,"£3,000,000","£3,000,000","£6,000,000"
Bolton Business Ventures Limited,Transitional Small Business Loan Fund Lancashire and North Manchester,"£450,000","£450,000","£900,000"
Business Link Northwest,Enhancing the Business Link Service Innovation Specialist Brokerage Service,"£1,635,347","£1,635,347","£3,270,694"
Cumbria Community Asset Reinvestment Trust Ltd,Transitional Small Business Loan Fund Cumbria,"£400,000","£400,000","£800,000"
Lancaster University,IDEAS @ Daresbury,"£384,914","£384,914","£769,828"
Lancaster University,Infolabs Strategic Innovation Support Programme (ISIS),"£1,975,316","£1,975,316","£3,950,632"
Lancaster University,Susdram,"£979,648","£979,648","£1,959,296"
Merseyside Special Investment Fund Limited,Transitional Loan Fund,"£1,000,000","£1,000,000","£2,000,000"
Merseyside Special Investment Fund Limited,Transitional Small Business Loan Fund Merseyside,"£900,000","£900,000","£1,800,000"
Northwest Regional Development Agency,Innovation Vouchers,"£2,000,000"," £2,000,000","£4,000,000"
Northwest Regional Development Agency,Grant for Research and Development,"£1,100,000","£1,100,000 ","£2,200,000"
Northwest Regional Development Agency,Future MAS,"£8,508,608","£8,508,608","£17,017,216"
NW VCLF HF LLP,Interim Loan Fund,"£2,250,000","£2,250,000","£4,500,000"
The Enterprise Fund Limited t/a Business Finance Solutions,Transitional Small Business Loan Fund Manchester and Cheshire,"£475,000","£475,000","£950,000"
The Social Enterprise Loan Fund,Transitional Small Business Loan Fund Social Enterprise,"£125,000","£125,000","£250,000"
University of Liverpool,Knowledge Exchange in Laser Engineering (KE-Las),"£882,000","£882,000","£1,764,000"
University of Liverpool,North West Virtual Engineering Centre,"£2,501,743","£2,501,743","£5,003,486"
Cumbria Tourism,Regional Marketing Culture and Heritage,"£2,400,000","£806,456","£4,800,000"
English Cities Fund,St Paul's Square Phase 3,"£4,641,000","£4,159,000","£19,712,727"
English Partnerships,Lime Street Gateway,"£3,055,000","£3,919,806","£6,974,806"
Liverpool Biennial of Contemporary Art Limited,Liverpool Biennial 2010 Festival,"£600,000","£600,000","£1,200,000"
Liverpool City Council,Liverpool Cycle Strategy,"£596,475","£528,975","£1,192,950"
Merseytravel,Liverpool City Centre Underground Station Improvements,"£417,000","£417,000","£834,000"
Merseytravel,James Street Underground Station,"£680,000","£1,020,000","£1,700,000"
Merseytravel,Integrated Corridor B Gateway,"£911,500","£911,500","£1,823,000"
Merseytravel,Integrated Corridor D Gateway,"£1,442,000","£1,442,000","£2,884,000"
Merseytravel,Integrated Corridor F Gateway,"£1,730,000","£1,730,000","£3,460,000"
Merseytravel,City Centre Bus Corridor,"£1,443,000","£1,443,000","£2,886,000"
Merseytravel,Green Transport Plan,"£368,000","£368,000","£736,000"
Museum of Science and Industry,MOSI Phase 1 - Redevelopment of Main Building,"£2,000,000","£2,000,000","£4,000,000"
Northwest Regional Development Agency,JESSICA,"£25,250,000","£25,250,000","£50,500,000"
People's History Museum,People's History Museum,"£378,150"," £378,150","£756,300"
Redsun Developments Limited,Tebay Road Development,"£2,195,229","£120,323","£4,390,458"
Tate Liverpool,Major Exhibitions Programme,"£880,000","£880,000","£1,760,000"
The Mersey Partnership,Partners for Tourism Growth,"£5,973,956","£5,242,814","£11,947,912"
Baltic Creative c/o Liverpool Vision,Baltic Creative,"£2,206,888","£2,206,888 ","£4,413,776"
Cumbria County Council,Maryport Business Centre,"£945,318","£945,319","£1,890,637"
Knowsley Metropolitan Borough Council,Supporting Links to Employment in Merseyside,"£2,522,731"," £2,522,731","£5,045,462"
Northwest Regional Development Agency,JESSICA,"£25,250,000","£25,250,000 ","£50,500,000"
Northwest Regional Development Agency,Business Start Up,"£8,400,000","£8,400,000","£16,800,000"
West Lakes Renaissance,Waterfront Business Park further infrastructure (Barrow Access Road),"£4,938,000"," £4,938,000","£9,876,000"
