"Round","Priority","Organisation","Project Title","Indicative ESF Award"
1,1,"Argyll and Bute Council","Project Craftwork Enhancing Employability -Kintyre, Oban and Lorn","ﾣ118,423"
1,1,"Argyll and Bute Council","Project Craftwork Enhancing Employability - Cowal & Bute","ﾣ85,302"
1,1,"Employability Orkney","Supported Employment Employability Orkney","ﾣ62,308"
1,1,"Comhairle nan Eilean Siar","Western Isles Rural Opportunities","ﾣ323,988"
1,1,"Scottish Childminding Association","Childminding Recruit and Train","ﾣ25,099"
1,1,"Merkinch Enterprise","Community Employment Training","ﾣ34,265"
1,1,"Cothrom Ltd","Combating Social Exclusion","ﾣ30,739"
1,1,"Springboard UK","The Right Staff","ﾣ112,130"
1,1,"North Highland College","ESOL Training","ﾣ53,787"
1,1,"Lochaber College","Towards a Sustainable Future for MMTC","ﾣ25,900"
1,1,"Shirlie Ltd","Focus on Work-Life Balance","ﾣ200,000"
1,1,"New Start Highland","New Start Highland - Breaking the Cycle","ﾣ167,344"
1,1,"Workers' Educational Association","Step into Learning","ﾣ22,570"
1,1,"Barnardos","Youthbuild","ﾣ97,042"
1,1,"Highland Council","Deaf Communication Project","ﾣ32,500"
1,1,"Highland Council","Community Based Bilingual Assistants","ﾣ54,546"
1,1,"Highland Council","ESOL Quality Development","ﾣ67,316"
1,1,"Highland Council","T2E - Transport to Employment 2008 Project","ﾣ9,980"
1,1,"NHS Highland","TAG Highland","ﾣ212,793"
1,1,"Argyll & Bute Council","Project Craftwork Enhancing Employability Skills (South Kintyre, Oban & Lorn)","ﾣ74,576"
1,1,"Comhairle nan Eilean Siar","Western Isles Rural Opportunities (Shadow)","ﾣ100,404"
1,1,"The Highland Council","Transport 2 Employment (Shadow)","ﾣ37,500"
1,1,"The Prince's Trust","Highland Recharge","ﾣ13,717"
1,1,"Scottish Council for Voluntary Organisations","Highland Work With Us","ﾣ62,461"
1,1,"Scottish Council for Voluntary Organisations","Positive Steps to Employment in Highland","ﾣ279,292"
1,2,"Scottish Bakery Training Council","Skills Training for Baking and Food Industries","ﾣ61,063"
1,2,"Argyll College","Further Development of Construction Skills","ﾣ49,220"
1,2,"Highland Opportunity Limited","Employment Grants Scheme","ﾣ100,000"
1,2,"Moray Firth Media Trust","Radio Broadcasting","ﾣ63,193"
1,2,"Social Enterprise Academy","Developing Leaders for Sustainable Communities","ﾣ306,447"
1,2,"Cairngorm National Park Authority","Training for Landbased Businesses for Growth","ﾣ43,326"
1,2,"North Highland College","Re-skilling for Oil, Gas and Renewables","ﾣ48,361"
1,2,"Stow College","Union Learning in the Highlands & Islands","ﾣ66,854"
1,2,"Lochaber College","Future Chefs","ﾣ50,513"
1,2,"Forestry Commission","Modern Apprenticeship Scheme","ﾣ490,326"
1,2,"SCVO","Highlands & Islands Equality Forum","ﾣ53,500"
1,2,"Scottish Agricultural College","Delivering Business Skills to Rural Areas","ﾣ37,500"
1,2,"Scottish Federation of Meat Traders Association","Raising the Steaks","ﾣ27,431"
1,3,"Argyll College","Consolidating Argyll Delivery of Performing Arts","ﾣ13,533"
1,3,"North Highland College","Community Empowerment in Tourism, Heritage and Leisure-based Activities","ﾣ167,148"
1,3,"UHI Millennium Institute","UHI SDB ESF Plan","ﾣ4,098,000"
2,1,"Day 1","Day1 application April/May 2008","ﾣ41,006"
2,1,"Shetland Islands Council","Bridges Project","ﾣ36,119"
2,1,"Moray College","ESOL provision for West Moray","ﾣ129,116"
2,1,"Moray College","Conservation Construction Skills","ﾣ83,218"
2,2,"Comhairle Nan Eilean Siar","Vocational Training Support","ﾣ60,000"
2,2,"Scottish Chamber of Commerce","Business Mentoring (HI)","ﾣ114,847"
2,2,"STUC","Union Learning Together in the Highlands & Islands","ﾣ54,540"
2,3,"Sabhal Mor Ostaig","Guthan nan Eilean: Island Voices","ﾣ47,154"
2,3,"STUC","Union Learning Project","ﾣ107,641"
2,3,"Speyside Trust","JobConnect @ badaguish","ﾣ25,428"
2,1,"Moray Council","Moray CPP Plan ESF Element","ﾣ162,643"
3,1,"Workers' Educational Association","WEA Step into Learning","ﾣ74,978"
3,1,"Merkinch Enterprise","Employment Training in the Community","ﾣ108,235"
3,1,"Scottish Childminding Association","Childminding Recruit & Train","ﾣ74,100"
3,1,"The Highland Council","Community Based Language Assistants","ﾣ49,943"
3,1,"The Highland Council","Deaf Communication Project � Training Hub Initiative 2009","�33,000"
3,1,"The Highland Council","ESOL support for migrant workers and their families","ﾣ71,680"
3,1,"Lochaber College","Lochaber, Skye & Wester Ross - Engaging with Learning","ﾣ114,943"
3,1,"North Highland College","Practical Training for Employability","ﾣ81,580"
3,1,"North Highland College","English Language Training in the Highlands","ﾣ120,804"
3,1,"Argyll & Bute Council","Project Craftwork, Oban & Lorn (Model Interventions)","ﾣ122,448"
