organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority,uri
Dundee University,Innovation Pipeline for Translational Science,"2,100,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0429,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Dundee University,Photonic Ultrasonic Pre-clinical MRI Intervention Centre-CAP,"780,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0509,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Dundee University,The Bioportal,"676,068.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0447,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Glasgow Caledonian University,CIC Start On-line,"400,757.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0237,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Glasgow Caledonian University,Kit Out,"77,008.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0267,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Glasgow Caledonian University,Supporting SMEs within Scotland's Food & Drink Sector,"333,850.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0380,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Glasgow Opportunities,John Logie Baird Innovation Village Capital,"2,366,876.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0450,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Heriot-Watt University,HWUKT,"3,849,636.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0388,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Napier University,2KT+,"581,785.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0439,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Napier University,Butanol Innovation into Business,"212,120.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0463,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Napier University,TIPD- Technology Innovation and Product Development,"308,594.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0476,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Roslin Institute,Roslin Stem Cell Partnership,"1,185,854.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0438,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Agricultural College,Green Cow,"379,921.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0323,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,Translational Medicine Research Collaboration Programme,"5,260,999.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0477,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Stem Cell Network Ltd,Scottish Stem Cell Network,"501,500.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0445,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Stirling University Innovation Park,Sporting Chance Initiative,"647,298.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0480,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The Hydrogen Office Ltd,Hydrogen Office - Hydrogen Technology Optimisation,"486,338.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0459,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The Hydrogen Office Ltd,Hydrogen Office Wind Turbine Procurement,"275,375.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0425,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The Robert Gordon University,Developing the ICT Business Base,"285,976.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0312,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
University of Strathclyde,SIPBS Knowledge Exchange Hub,"1,051,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0375,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
University of Strathclyde,SIPBS Knowledge Exchange Hub - Revenue,"524,740.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0374,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
University of the West of Scotland,Inovation in Sensors & Product Design (INSPIRED),"372,822.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0412,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
BRAG Enterprises Ltd,Motivate to Innovate,"305,033.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0301,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Dundee City Council,Enterprising Tayside,"450,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0434,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
East Dunbartonshire,Fit for Growth Programme,"602,250.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0437,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Edinburgh Business Development,Edinburgh Incubator Programme,"920,719.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0365,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Edinburgh Business Development,Scottish Ethnic Minority Enterprise Trust,"168,341.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0406,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Forestry Commission Scotland,Scottish Biomass Heat Scheme for Business,"800,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0339,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Perth College,Inspiring Enterprise,"250,426.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0409,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,Business Efficiency,"4,984,400.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0324,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
West of Scotland Loan Fund Ltd,West of Scotland Loan Fund (Gap Funding for SME's),"6,000,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0501,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Ferguslie Park Housing Association,The Tannahill Vision Project Programme,"307,380.00",European Regional Development Fund,,LUPS/ERDF/2008/2/3/0467,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Maryhill Burgh Halls Trust,Maryhill Burgh Halls,"1,279,014.00",European Regional Development Fund,,LUPS/ERDF/2008/2/3/0313,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Angus Council,Tartan Day Scotland,"123,498.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0452,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Moray College,e-Health training and education unit for Moray,"2,921,294.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0256,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Oatridge College,GrowBiz,"101,468.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0417,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,Energetica Business Site Development,"1,470,266.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0377,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,Rural Business Property Support,"384,800.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0378,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
SEStran,Regional Real Time Bus Passenger Information System (Rural),"410,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0475,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The Moray Council,Rural Action Plan for Moray,"1,037,698.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0340,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Barony College,Barony Business Development Centre,"489,903.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0015,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Dumfries and Galloway Council,South of Scotland Creative Clusters Project,"245,319.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0007,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,RURAL Business Property Support (South ),"320,000.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0011,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Historic Buildings Trust,Greenlaw Town Hall - Office development,"512,549.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0008,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
SEStran,Regional Real Time Bus Passenger Inforamation System - Borders,"199,719.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0014,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The South West of Scotland Transport,TravelSmart Dumfries and Galloway,"1,280,355.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0010,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
