organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority,uri
Anniesland College,Employment Pathways for Speakers of Other Languages Programme,"226,508",European Social Fund,1,LUPS/ESF/2008/2/1/0277,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Anniesland College,Community Based Skills for Employment II Programme,"387,464",European Social Fund,1,LUPS/ESF/2008/2/1/0278,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
BRAG Enterprises Ltd,Employability Skills for Fife,"98,146",European Social Fund,1,LUPS/ESF/2008/2/1/0297,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Cardonald College,Opening Employability Options 2009,"132,986",European Social Fund,1,LUPS/ESF/2008/2/1/0381,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Cardonald College,Supported Pathways 2009,"138,486",European Social Fund,1,LUPS/ESF/2008/2/1/0385,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Coatbridge College,Made to Measure: Employability Skills for School Leavers,"112,072",European Social Fund,1,LUPS/ESF/2008/2/1/0344,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Cornerstone Community Care,CODE,"130,538",European Social Fund,1,LUPS/ESF/2008/2/1/0411,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
CrossReach(Church of Scotland Social Care),Positive Destinations,"295,923",European Social Fund,1,LUPS/ESF/2008/2/1/0436,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Dundee College,Employability in the Oil and Gas Sector,"105,028",European Social Fund,1,LUPS/ESF/2008/2/1/0246,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
ENABLE Scotland,Make the Move - People with learning disabilities into work,"336,941",European Social Fund,1,LUPS/ESF/2008/2/1/0243,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Ethnic Minority Enterprise Centre,EMAS,"218,166",European Social Fund,2,LUPS/ESF/2008/2/1/0354,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Fife Council,Fife Women's Technology Centre,"81,888",European Social Fund,1,LUPS/ESF/2008/2/1/0413,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Galgael,Navigate Life,"125,403",European Social Fund,1,LUPS/ESF/2008/2/1/0473,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow Centre for Inclusive Living,New Jobs for Disabled People 8,"211,032",European Social Fund,1,LUPS/ESF/2008/2/1/0370,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow Centre for Inclusive Living,GCIL Professional Careers,"325,854",European Social Fund,3,LUPS/ESF/2008/2/1/0397,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow City Council,Gangs Into Employment Initiative,"212,847",European Social Fund,1,LUPS/ESF/2008/2/1/0394,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow City Council,Learning Disabilites Supported Employment Service,"134,499",European Social Fund,1,LUPS/ESF/2008/2/1/0403,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow City Council,Young Parents - Glasgow Cares,"291,155",European Social Fund,3,LUPS/ESF/2008/2/1/0389,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow East Regeneration Agency,East Works 2009,"168,686",European Social Fund,1,LUPS/ESF/2008/2/1/0309,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow East Regeneration Agency,Routes 2 and Sustaining Employment 2009,"253,890",European Social Fund,1,LUPS/ESF/2008/2/1/0302,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow Metropolitan College,Employability Project @GlasgowMET,"329,340",European Social Fund,1,LUPS/ESF/2008/2/1/0275,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow Metropolitan College,GlasgowMet - Women Into Construction2009,"101,061",European Social Fund,1,LUPS/ESF/2008/2/1/0292,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow Metropolitan College,Glasgow Met - Employability Skills for Ethnic Minorities,"151,712",European Social Fund,1,LUPS/ESF/2008/2/1/0291,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow South West Regeneration Agency,South West Glasgow - Accessing Opportunities,"752,715",European Social Fund,3,LUPS/ESF/2008/2/1/0395,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow South West Regeneration Agency,GSWRA Youth Employability & Transition Support (cont),"475,759",European Social Fund,3,LUPS/ESF/2008/2/1/0405,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Kibble Education and Care,Working! An Inspired Choice,"170,413",European Social Fund,1,LUPS/ESF/2008/2/1/0351,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
