"Provider Name","Project Title","Funding (£)","Subcontractors or Partners","Contract Start Date","Contract End Date"
"Connexions Cornwall 
& Devon ","New Leaf ",2182891,"Sub Contractors 
- St James School  
- The Sharpham Trust  
- Clive Piggott  Devon Action  
- Discovery Surf School  
- City College Plymouth  
- GOYA  
- Dart ValleyTraining  
- Devon Skills Centre 
- Devon Youth Service (Exeter)  
- Dynamic Adventures  
- Exeter College  
- The Guinness Trust (Exeter Foyer)  
- FEDT  
- Groundwork Devon & Cornwall  
- INVOLVE  
- Lisa Weston  
- North Devon Pathfinder Trust  
- North Prospect Community  
- Learning Ltd  
- On Track Education Services Ltd  
- Paignton Sec info Tech Training 
Centre  ",01/06/08,31/12/10
"Prospects Services 
Ltd ","YES","ﾣ109,188 
 ","NONE ",02/07/08,31/12/10
"Prospect Training 
Services ","ReEngage ","ﾣ450,000 ","Partners 
- Royal Forest of Dean College 
- Star College  
- Shire Training  
- Furniture Recycle Centre  ",01/06/08,31/12/10
"Young 
Gloucestershire 
 ","ACHIEVE ","ﾣ150,000 ","Partners – InfoBuzz, The Wilderness Centre",01/05/08,31/12/10
"Wiltshire College ","Resolve2 ","ﾣ967,663.71 ","Partners 
- North Wessex Training  
- Swindon college  ","01/06/08 
 ",31/10/10
"City of Bristol 
College ","EUL (Education Unlimited)  ","ﾣ1,088,486 ","Partners 
- Riverside Boxing Club  
- Brunel & Gordano Training  
- BYPP 
- Fairbridge West  
- Filton College  
- Hedley Hall (partner) - HWV (partner) 
- KTS Training (partner) 
- PAX Productions (partner) 
- PROPS (partner) 
- Trinity (partner) 
- YMCA Training (partner) 
- Young Bristol (partner) ","01/08/08 
 ",31/07/09
"Norton Radstock 
College ","Get sorted  ","ﾣ423,300 ","Sub Contractors  - BANES Training Services  - City of Bath College  - Weston College",01/08/08,31/07/09
"Connexions 
Somerset Ltd ","NEET ACTIVITIES IN 
SOMSERSET -  
Project Somerset ","ﾣ546,801 ","Sub Contractors – Somerset Rural Youth Project  Partners – Somerset County Council TYST",01/06/08,31/12/10
"BTCV Enterprises Ltd ","Big Break ","ﾣ910,624 ","Sub Contractors – Princes Trust  - Bournemouth Churches Housing Association ",01/09/08,31/12/10
"Connexions BDP ","Moving Forward  ","ﾣ211,000RS ","NONE ",16/06/08,31/12/10
"Working Links ","Skills for Jobs Devon ","ﾣ1,556,379 ","Sub Contractors 
- North Devon  
- Pathfinder Trust Ltd  
- Westward Training & Personnel 
- Torridge Training South Devon - 
College  
- North Devon College  
- South Devon College 
- Exeter College  
- City College Plymouth  ",01/06/08,31/12/10
"City of Bristol 
College ","Recruit and Train ","ﾣ1,381,219 ","Partners  - St Paul's Family Learning Centre  - Partners in Business (CoBC)  - Working Links Barton Hill Settlement  - Places for People The Beacon Centre",01/07/08,31/12/10
"Gloucestershire 
Development 
Agency ","Gloucester Works ","ﾣ1,588,892 ","Partners 
- Job Centre Plus  
- Community Counts  
Sub contractors 
- Gloucestershire and Stroud Colleges 
will provide links to main programmes 
- Probation Services will provide links 
to clients who are ex-offenders 
- Prospect Ltd will provide links to 
Next Steps and former Connexions 
services  
- GHURC will provide awareness of 
new employer opportunities in the 
regeneration areas and links to them  ","01/07/08 
 ",31/12/10
"New College 
Swindon ","Learn 2 Work ","ﾣ352,341 ","Sub Contractors 
- AEC10  
- AFF 
Partners 
- Swindon Borough Council  
- Tempo  ","02/07/08 
 ",31/10/08
"Tribal Group PLC ","Skills for Jobs  ","ﾣ553,045 ","Sub Contractors 
- Abilities  
- Bournemouth & Poole College 
- BCHA 
- Best Training 
- Weymouth College  
- A View to a Skill
- Paragon Training","08/08/08 
 ",31/12/10
"Somerset County 
Training ","ucan if ican ","ﾣ541,252 ","Sub Contractors 
- Turning Point 
- MIND 
- Prospects Organisation 
- Learning South West","27/07/08 
 ",31/10/10
"Enham ","Journey to Work ","ﾣ560,000 ","NONE ",01/07/08,31/12/10
"East Dorset District 
Council (EDDC) ","Care Ambassadors   ","ﾣ25,000 ","NONE ",31/07/08,31/12/10
"Employment 
Opportunities  ","Opportunity Swindon ","ﾣ245,000 ","- Triangle Fusion 
- Mecap 
- SCOPE ",01/04/09,31/12/10
"Swindon Borough 
Council ","Work Placements for 
Learners with Learning 
Difficulties and or 
Disabilities - Swindon ","ﾣ255,000 (of 
that ﾣ1555,000 
capacity 
Building) ","- SBC (substantative work 
delivered by Enterprise Works) 
- Swindon College 
- Richmond Fellowship  
- Working for Opportunities 
- National Star College ",01/08/09,31/07/10
"A4e Ltd ","Extra Mile ","ﾣ480,000 
 ","
Sub Contractors 
- Brave 
- Blue Sky Development 
- Leonardo 
",08/04/08,31/12/10
"The Learning Curve ","Community Grants ","ﾣ605,700 
 ","Partners 
- South west Foundation  ",01/10/08,30/12/10
"Education + training 
Skills ","ETS for Key Workers ","ﾣ109,559 ","NONE ",01/06/08,31/12/10
"North Devon College ","Reaching Out to Train to 
Gain ","ﾣ1,279,454 
 ","Partners 
- Exeter College  
- S Devon College  
- City College Plymouth  
- Duchy College  
 ",08/04/08,31/12/10
"North Devon College 
 ","Workforce Development 
Level 3+ � Devon 
 ","ﾣ545,134.50 
 ","Partners 
- Exeter College 
- S Devon College 
- City College Plymouth  
- Duchy College  
 ","03/06/08 
 ","31/12/10 
 "
"Devon County 
Council 
 ","Skills for Life Devon 
 ","ﾣ1,389,015.40 
 ","Partners 
- Devon ACL (DCC)  
 ",01/08/08,"31/12/10 
 "
