organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority
 Anniesland College, Employment Pathways for Speakers of Other Languages Programme,"226,508",European Social Fund, 1.0,LUPS/ESF/2008/2/1/0277,Priority 1: Progressing Into Employment
 Anniesland College, Community Based Skills for Employment II Programme,"387,464",European Social Fund,1.0,LUPS/ESF/2008/2/1/0278,Priority 1: Progressing Into Employment
 BRAG Enterprises Ltd, Employability Skills for Fife," 98,146",European Social Fund, 1.0,LUPS/ESF/2008/2/1/0297,Priority 1: Progressing Into Employment
 Cardonald College,Opening Employability Options 2009,"132,986",European Social Fund,1.0,LUPS/ESF/2008/2/1/0381,Priority 1: Progressing Into Employment
 Cardonald College,Supported Pathways 2009,"138,486",European Social Fund, 1.0,LUPS/ESF/2008/2/1/0385,Priority 1: Progressing Into Employment
 Coatbridge College, Made to Measure: Employability Skills for School Leavers,"112,072",European Social Fund,1.0,LUPS/ESF/2008/2/1/0344,Priority 1: Progressing Into Employment
 Cornerstone Community Care, CODE,"130,538",European Social Fund,1.0,LUPS/ESF/2008/2/1/0411,Priority 1: Progressing Into Employment
 CrossReach(Church of Scotland Social Care), Positive Destinations,"295,923",European Social Fund, 1.0,LUPS/ESF/2008/2/1/0436,Priority 1: Progressing Into Employment
 Dundee College, Employability in the Oil and Gas Sector,"105,028",European Social Fund, 1.0,LUPS/ESF/2008/2/1/0246,Priority 1: Progressing Into Employment
 ENABLE Scotland,Make the Move - People with learning disabilities into work,"336,941",European Social Fund, 1.0,LUPS/ESF/2008/2/1/0243,Priority 1: Progressing Into Employment
 Ethnic Minority Enterprise Centre,EMAS,"218,166",European Social Fund,2.0,LUPS/ESF/2008/2/1/0354,Priority 1: Progressing Into Employment
 Fife Council, Fife Women's Technology Centre," 81,888",European Social Fund,1.0,LUPS/ESF/2008/2/1/0413,Priority 1: Progressing Into Employment
 Galgael,Navigate Life,"125,403",European Social Fund, 1.0,LUPS/ESF/2008/2/1/0473,Priority 1: Progressing Into Employment
 Glasgow Centre for Inclusive Living,New Jobs for Disabled People 8,"211,032",European Social Fund,1.0,LUPS/ESF/2008/2/1/0370,Priority 1: Progressing Into Employment
 Glasgow Centre for Inclusive Living,GCIL Professional Careers,"325,854",European Social Fund, 3.0,LUPS/ESF/2008/2/1/0397,Priority 1: Progressing Into Employment
