Provider,Project,Funding,Subcontractor,Partners,Start Date,End Date
CRAVEN COLLEGE,Adult Engagement Fund North Yorkshire,"£599,634.00","YH Training, Our Celebration, North Yorkshire Learning Consortium, North Yorkshire County Council","North Yorkshire Colleges, Learning Centres Network, ACVO, PiP, Scarborough Enterprise Agency",1-Jul-08,31-Mar-10
LEEDS COLLEGE OF BUILDING,Vocational Training for Offenders in the Community,"£240,380.00", ,"Groundwork Leeds, Ground work Wakefield, Bradford Youthbuild Trust, ""Build"" Huddersfield, West Yorkshire Probation Board ",1-Jul-08,31-Jul-09
GUIDANCE ENTERPRISES LIMITED,14-19 NEET Coordinated Response Manager North Yorkshire,"£407,013.00","Craven College, Guidance Services Limited, nylc",,1-Apr-08,31-Mar-10
GRIMSBY INSTITUTE OF FURTHER AND HIGHER EDUCATION,14-19 NEET Coordinated Response Manager North East Lincs,"£800,004.00","NE Lincs Council (EDS & ACLS), North Lindsey College, N Lincs and Goole Hospitals, Frederick Gough School, Study United (N Lincs Council), A4e Ltd, Grimsby Town FC, Foresight/CPO, South Bank Training",,30-Jun-08,31-Mar-10
HULL AND EAST YORKSHIRE COMMUNITY FOUNDATION LIMITED,14-19 NEET Coordinated Response Manager Hull,"£1,000,004.00","PROBE, GOODWIN, VOLCOM, Barnardos, Child Dynamix, Humber Fire and Rescue, Inspire Youth/Black Water Training HYA Training Limited, Hull City Training, Rhema Youth Works",,30-Jun-08,31-Mar-10
HUMBER LEARNING CONSORTIUM,14-19 NEET Coordinated Response Manager East Riding of Yorkshire,"£400,002.00","East Riding Training Services, East Riding College",,30-Jun-08,31-Mar-10
LEEDS CITY COUNCIL,14-19 NEET Coordinated Response Manager Leeds,"£999,976.00","Barnardo's, Cardigan Centre, Hunslet Club, Groundwork Leeds, Archway, NACRO Operations",,1-Apr-08,31-Mar-10
GRIMSBY INSTITUTE OF FURTHER AND HIGHER EDUCATION,Skills for Jobs Fund the Humber,"£750,000.00","GIFHE, North Lindsey College, East Riding College, Local Labour Initiative training & enterprise Limited (Llite), Hull and East Yorkshire Community Foundation",,1-Jul-08,31-Mar-10
HUMBER LEARNING CONSORTIUM,Adult Engagement Fund The Humber,"£750,000.00","CERT, Christ Church Community Services, East Riding College, Foresight, Goodwin, GIFHE, Llite, Hull and East Yorkshire Mind, Preston Road Women's Centre, Probe, Westcliffe Neighbourhood Drop-In-Centre",,1-Jul-08,31-Mar-10
HUMBER LEARNING CONSORTIUM,Information Advice and Guidance for ESF Participants,"£317,100.00","CERT, Goodwin Development Trust, Grimsby Institute of further and higher education, IGEN Limited, Llinc, Rainer, Humberside, North East Lincs EDS, Probe, Children and Family Action, Connexions Humber ",,1-Aug-08,31-Mar-10
